label,case,toy,variant,group,seed,run_dir,final_within_ceiling,time_to_ceiling,diagnostic_status,micro_row_count,finite_pair_count,learned_abstention_rate,learned_non_abstain_rate,prototype_learned_sign_agreement_rate,prototype_learned_sign_conflict_rate,non_abstain_sign_agreement_rate,non_abstain_sign_conflict_rate,prototype_learned_advantage_correlation,prototype_advantage_mean,learned_advantage_mean,prototype_advantage_abs_mean,learned_advantage_abs_mean,advantage_delta_abs_mean,learned_uncertainty_mean,aggregate_training_replay_min_selected_rate_mean,aggregate_training_replay_selected_rate_mean,aggregate_training_replay_weight_mean,aggregate_training_replay_weight_positive_rate_mean,aggregate_training_learned_credit_rate_mean,final_aggregate_training_replay_selection,final_aggregate_training_replay_min_selected_rate,final_aggregate_training_replay_selected_rate,final_aggregate_training_replay_weight_mean,final_aggregate_training_replay_weight_positive_rate,final_aggregate_training_learned_credit_rate,final_aggregate_abstention_rate,final_aggregate_prototype_correlation
toy24_basin_learned_credit_weight_scorer_quick,toy2_basin_learned_credit_weight_scorer,toy2,linear_welfare_heavy,baseline,1,experiments/runs/20260514_184421_407431_toy24_basin_learned_credit_weight_scorer_quick_toy2_basin_learned_credit_weight_scorer_linear_welfare_heavy_seed01,True,23,no_finite_pairs,5000,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan
toy24_basin_learned_credit_weight_scorer_quick,toy2_basin_learned_credit_weight_scorer,toy2,linear_welfare_heavy,baseline,2,experiments/runs/20260514_184428_043758_toy24_basin_learned_credit_weight_scorer_quick_toy2_basin_learned_credit_weight_scorer_linear_welfare_heavy_seed02,True,26,no_finite_pairs,5000,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan
toy24_basin_learned_credit_weight_scorer_quick,toy2_basin_learned_credit_weight_scorer,toy2,linear_welfare_heavy,baseline,3,experiments/runs/20260514_184433_746720_toy24_basin_learned_credit_weight_scorer_quick_toy2_basin_learned_credit_weight_scorer_linear_welfare_heavy_seed03,True,22,no_finite_pairs,5000,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan
toy24_basin_learned_credit_weight_scorer_quick,toy2_basin_learned_credit_weight_scorer,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_prototype,diagnostic,1,experiments/runs/20260514_184439_430837_toy24_basin_learned_credit_weight_scorer_quick_toy2_basin_learned_credit_weight_scorer_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed01,True,9,no_finite_pairs,5000,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,0.0,all,0.0,1.0,1.0,1.0,0.0,nan,nan
toy24_basin_learned_credit_weight_scorer_quick,toy2_basin_learned_credit_weight_scorer,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_prototype,diagnostic,2,experiments/runs/20260514_184455_043723_toy24_basin_learned_credit_weight_scorer_quick_toy2_basin_learned_credit_weight_scorer_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed02,True,10,no_finite_pairs,5000,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,0.0,all,0.0,1.0,1.0,1.0,0.0,nan,nan
toy24_basin_learned_credit_weight_scorer_quick,toy2_basin_learned_credit_weight_scorer,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_prototype,diagnostic,3,experiments/runs/20260514_184511_315301_toy24_basin_learned_credit_weight_scorer_quick_toy2_basin_learned_credit_weight_scorer_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed03,True,9,no_finite_pairs,5000,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,0.0,all,0.0,1.0,1.0,1.0,0.0,nan,nan
toy24_basin_learned_credit_weight_scorer_quick,toy2_basin_learned_credit_weight_scorer,toy2,learned_candidate_context_all_replay,diagnostic,1,experiments/runs/20260514_184526_859619_toy24_basin_learned_credit_weight_scorer_quick_toy2_basin_learned_credit_weight_scorer_learned_candidate_context_all_replay_seed01,True,9,complete,5000,5000,0.2316,0.7684,0.7758,0.2242,1.0,0.0,-0.43181351561968395,-0.004332863937068557,-0.007322762913256044,0.00467440036725205,0.007386879187086694,0.003239572516733628,0.033570023242746355,0.0,1.0,1.0,1.0,0.7684000000000001,all,0.0,1.0,1.0,1.0,1.0,0.0,-0.9999999869165832
toy24_basin_learned_credit_weight_scorer_quick,toy2_basin_learned_credit_weight_scorer,toy2,learned_candidate_context_all_replay,diagnostic,2,experiments/runs/20260514_184545_564132_toy24_basin_learned_credit_weight_scorer_quick_toy2_basin_learned_credit_weight_scorer_learned_candidate_context_all_replay_seed02,True,10,complete,5000,5000,0.183,0.817,0.8206,0.1794,1.0,0.0,-0.0513603434696225,-0.004724489265625288,-0.006454509651729269,0.005159242926170232,0.006514791642942919,0.0020302255943006834,0.03080396967844688,0.0,1.0,1.0,1.0,0.8170000000000001,all,0.0,1.0,1.0,1.0,1.0,0.0,-0.9999999716111252
toy24_basin_learned_credit_weight_scorer_quick,toy2_basin_learned_credit_weight_scorer,toy2,learned_candidate_context_all_replay,diagnostic,3,experiments/runs/20260514_184602_289414_toy24_basin_learned_credit_weight_scorer_quick_toy2_basin_learned_credit_weight_scorer_learned_candidate_context_all_replay_seed03,True,9,complete,5000,5000,0.1816,0.8184,0.8218,0.1782,1.0,0.0,-0.10025316370140389,-0.00422201136953424,-0.006365420392772893,0.005021121959649559,0.0063655790965584675,0.002143518643291318,0.0303225754446822,0.0,1.0,1.0,1.0,0.8184,all,0.0,1.0,1.0,1.0,1.0,0.0,-0.999999986550516
toy24_basin_learned_credit_weight_scorer_quick,toy2_basin_learned_credit_weight_scorer,toy2,learned_candidate_context_confident_agreement_soft_min50_replay,diagnostic,1,experiments/runs/20260514_184619_533127_toy24_basin_learned_credit_weight_scorer_quick_toy2_basin_learned_credit_weight_scorer_learned_candidate_context_confident_agreement_soft_min50_replay_seed01,True,9,complete,5000,5000,0.2098,0.7902,0.796,0.204,1.0,0.0,-0.34374592269872933,-0.004602713417131643,-0.007270805759980447,0.004926850001867159,0.0073355101401521225,0.002918404455782375,0.033302955233634995,0.0,1.0,0.5407835487387165,1.0,0.7902,confident_agreement,0.0,1.0,0.5488812123035519,1.0,1.0,0.0,-0.9999999924583592
toy24_basin_learned_credit_weight_scorer_quick,toy2_basin_learned_credit_weight_scorer,toy2,learned_candidate_context_confident_agreement_soft_min50_replay,diagnostic,2,experiments/runs/20260514_184636_794481_toy24_basin_learned_credit_weight_scorer_quick_toy2_basin_learned_credit_weight_scorer_learned_candidate_context_confident_agreement_soft_min50_replay_seed02,True,10,complete,5000,5000,0.2016,0.7984,0.8028,0.1972,1.0,0.0,-0.13498150131742845,-0.004606368296146312,-0.006674013334465114,0.005027244251123644,0.0067351071174427376,0.0023687677367333153,0.03139775443456856,0.0,1.0,0.540588185778255,1.0,0.7984,confident_agreement,0.0,1.0,0.5488850221927879,1.0,1.0,0.0,-0.999999965897164
toy24_basin_learned_credit_weight_scorer_quick,toy2_basin_learned_credit_weight_scorer,toy2,learned_candidate_context_confident_agreement_soft_min50_replay,diagnostic,3,experiments/runs/20260514_184652_579631_toy24_basin_learned_credit_weight_scorer_quick_toy2_basin_learned_credit_weight_scorer_learned_candidate_context_confident_agreement_soft_min50_replay_seed03,True,9,complete,5000,5000,0.1772,0.8228,0.8262,0.1738,1.0,0.0,-0.1056352535952194,-0.004286896296364594,-0.0064040317109187225,0.005064434764840808,0.006404080637643349,0.0021171359407961593,0.03043631415963759,0.0,1.0,0.543462835724212,1.0,0.8228,confident_agreement,0.0,1.0,0.5488763044385815,1.0,1.0,0.0,-0.9999999919125918
toy24_basin_learned_credit_weight_scorer_quick,toy2_basin_learned_credit_weight_scorer,toy2,learned_candidate_context_weight_scorer_replay,nabm,1,experiments/runs/20260514_184708_326742_toy24_basin_learned_credit_weight_scorer_quick_toy2_basin_learned_credit_weight_scorer_learned_candidate_context_weight_scorer_replay_seed01,True,9,complete,5000,5000,0.2534,0.7466,0.7548,0.2452,1.0,0.0,-0.46013181628860883,-0.0042113292242092005,-0.0075713576389319255,0.004563255386965423,0.007635552069375286,0.003609793672441819,0.03421640652608291,0.0,1.0,0.7639124811153494,1.0,0.7465999999999999,all,0.0,1.0,0.7490784195387884,1.0,1.0,0.0,-0.9999999864156028
toy24_basin_learned_credit_weight_scorer_quick,toy2_basin_learned_credit_weight_scorer,toy2,learned_candidate_context_weight_scorer_replay,nabm,2,experiments/runs/20260514_184724_217793_toy24_basin_learned_credit_weight_scorer_quick_toy2_basin_learned_credit_weight_scorer_learned_candidate_context_weight_scorer_replay_seed02,True,10,complete,5000,5000,0.245,0.755,0.7612,0.2388,1.0,0.0,-0.23074914358224893,-0.004350048841765775,-0.007167480678286464,0.004825417242925186,0.007227899407972979,0.003117763626478939,0.03278786997044555,0.0,1.0,0.7640210508397824,1.0,0.755,all,0.0,1.0,0.7490795158833761,1.0,1.0,0.0,-0.999999972990596
toy24_basin_learned_credit_weight_scorer_quick,toy2_basin_learned_credit_weight_scorer,toy2,learned_candidate_context_weight_scorer_replay,nabm,3,experiments/runs/20260514_184738_689120_toy24_basin_learned_credit_weight_scorer_quick_toy2_basin_learned_credit_weight_scorer_learned_candidate_context_weight_scorer_replay_seed03,True,9,complete,5000,5000,0.1854,0.8146,0.818,0.182,1.0,0.0,-0.10672808949137726,-0.004171440341403685,-0.006334577386259703,0.004972928184745861,0.006334733559019135,0.0021632452439966183,0.030145060650677544,0.0,1.0,0.7629605248596749,1.0,0.8146,all,0.0,1.0,0.7490796407082252,1.0,1.0,0.0,-0.9999999845114622
toy24_basin_learned_credit_weight_scorer_quick,toy4_basin_learned_credit_weight_scorer,toy4,linear_welfare_heavy,baseline,1,experiments/runs/20260514_184753_651191_toy24_basin_learned_credit_weight_scorer_quick_toy4_basin_learned_credit_weight_scorer_linear_welfare_heavy_seed01,False,19,no_finite_pairs,5000,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan
toy24_basin_learned_credit_weight_scorer_quick,toy4_basin_learned_credit_weight_scorer,toy4,linear_welfare_heavy,baseline,2,experiments/runs/20260514_184805_433204_toy24_basin_learned_credit_weight_scorer_quick_toy4_basin_learned_credit_weight_scorer_linear_welfare_heavy_seed02,True,21,no_finite_pairs,5000,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan
toy24_basin_learned_credit_weight_scorer_quick,toy4_basin_learned_credit_weight_scorer,toy4,linear_welfare_heavy,baseline,3,experiments/runs/20260514_184815_049309_toy24_basin_learned_credit_weight_scorer_quick_toy4_basin_learned_credit_weight_scorer_linear_welfare_heavy_seed03,False,23,no_finite_pairs,5000,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan
