label,case,toy,variant,group,baseline_group,nabm_group,seed,primary_metric,metric_value,direction,ceiling_metric,ceiling_value,ceiling_tolerance,ceiling_metric_value,ceiling_gap,final_within_ceiling,ever_reached_ceiling,time_to_ceiling,ever_ceiling_final_miss,late_flip_count_after_first_ceiling,late_flip_rate_after_first_ceiling,terminal_window_size,terminal_window_ceiling_rate,terminal_window_mean_ceiling_metric,precommitment_first_ready_epoch,precommitment_all_ready_epoch,precommitment_first_forced_epoch,precommitment_ready_to_forced_delay_mean,precommitment_premature_exit_count,precommitment_high_policy_rate,precommitment_direction_score_mean,precommitment_direction_score_positive_rate,precommitment_direction_ok_rate,precommitment_ready_largest_component_fraction,precommitment_peer_evidence_enabled,precommitment_peer_evidence_weight,precommitment_peer_readiness_aggregation,precommitment_peer_readiness_mean,precommitment_peer_readiness_active_rate,precommitment_peer_evidence_increment_mean,config_path,run_dir,nabm_status,neural_role,social_channels,reference_policies
toy4_resource_environment_weight_probe_quick,toy4_resource_environment_weight_probe,toy4,reputation_imitation_resource_p0p35,baseline,baseline,resource_environment_weight_probe,1,final_mean_payoff,0.6,maximize,mean_payoff,0.6,0.005,0.6,0.0,True,True,15,False,0.0,0.0,5,1.0,0.6,,,,,0,0.0,0.0,0.0,0.0,0.0,False,0.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy4_resource_environment_weight_probe_quick/toy4_resource_environment_weight_probe_reputation_imitation_resource_p0p35_seed01.yaml,experiments/runs/20260521_104517_631336_toy4_resource_environment_weight_probe_quick_toy4_resource_environment_weight_probe_reputation_imitation_resource_p0p35_seed01,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
toy4_resource_environment_weight_probe_quick,toy4_resource_environment_weight_probe,toy4,reputation_imitation_resource_p0p35,baseline,baseline,resource_environment_weight_probe,2,final_mean_payoff,0.6,maximize,mean_payoff,0.6,0.005,0.6,0.0,True,True,15,False,0.0,0.0,5,1.0,0.6,,,,,0,0.0,0.0,0.0,0.0,0.0,False,0.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy4_resource_environment_weight_probe_quick/toy4_resource_environment_weight_probe_reputation_imitation_resource_p0p35_seed02.yaml,experiments/runs/20260521_104522_963780_toy4_resource_environment_weight_probe_quick_toy4_resource_environment_weight_probe_reputation_imitation_resource_p0p35_seed02,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
toy4_resource_environment_weight_probe_quick,toy4_resource_environment_weight_probe,toy4,reputation_imitation_resource_p0p35,baseline,baseline,resource_environment_weight_probe,3,final_mean_payoff,0.6,maximize,mean_payoff,0.6,0.005,0.6,0.0,True,True,15,False,0.0,0.0,5,1.0,0.6,,,,,0,0.0,0.0,0.0,0.0,0.0,False,0.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy4_resource_environment_weight_probe_quick/toy4_resource_environment_weight_probe_reputation_imitation_resource_p0p35_seed03.yaml,experiments/runs/20260521_104528_121791_toy4_resource_environment_weight_probe_quick_toy4_resource_environment_weight_probe_reputation_imitation_resource_p0p35_seed03,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
toy4_resource_environment_weight_probe_quick,toy4_resource_environment_weight_probe,toy4,revision_precommitment_peer_evidence_resource_envw0p0,diagnostic,baseline,resource_environment_weight_probe,1,final_mean_payoff,0.0,maximize,mean_payoff,0.6,0.005,0.0,0.6,False,False,,False,,,5,0.0,-0.006,,,,,0,0.0,-1.824999999999999,0.0,0.0,0.0,True,1.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy4_resource_environment_weight_probe_quick/toy4_resource_environment_weight_probe_revision_precommitment_peer_evidence_resource_envw0p0_seed01.yaml,experiments/runs/20260521_104533_331697_toy4_resource_environment_weight_probe_quick_toy4_resource_environment_weight_probe_revision_precommitment_peer_evidence_resource_envw0p0_seed01,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
toy4_resource_environment_weight_probe_quick,toy4_resource_environment_weight_probe,toy4,revision_precommitment_peer_evidence_resource_envw0p0,diagnostic,baseline,resource_environment_weight_probe,2,final_mean_payoff,0.0,maximize,mean_payoff,0.6,0.005,0.0,0.6,False,False,,False,,,5,0.0,0.0,,,,,0,0.0,-1.824999999999999,0.0,0.0,0.0,True,1.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy4_resource_environment_weight_probe_quick/toy4_resource_environment_weight_probe_revision_precommitment_peer_evidence_resource_envw0p0_seed02.yaml,experiments/runs/20260521_104553_920791_toy4_resource_environment_weight_probe_quick_toy4_resource_environment_weight_probe_revision_precommitment_peer_evidence_resource_envw0p0_seed02,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
toy4_resource_environment_weight_probe_quick,toy4_resource_environment_weight_probe,toy4,revision_precommitment_peer_evidence_resource_envw0p0,diagnostic,baseline,resource_environment_weight_probe,3,final_mean_payoff,-0.01,maximize,mean_payoff,0.6,0.005,-0.01,0.61,False,False,,False,,,5,0.0,-0.004,,,,,0,0.0,-1.824999999999999,0.0,0.0,0.0,True,1.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy4_resource_environment_weight_probe_quick/toy4_resource_environment_weight_probe_revision_precommitment_peer_evidence_resource_envw0p0_seed03.yaml,experiments/runs/20260521_104613_120772_toy4_resource_environment_weight_probe_quick_toy4_resource_environment_weight_probe_revision_precommitment_peer_evidence_resource_envw0p0_seed03,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
toy4_resource_environment_weight_probe_quick,toy4_resource_environment_weight_probe,toy4,revision_precommitment_peer_evidence_resource_envw0p5,resource_environment_weight_probe,baseline,resource_environment_weight_probe,1,final_mean_payoff,0.0,maximize,mean_payoff,0.6,0.005,0.0,0.6,False,False,,False,,,5,0.0,-0.006,,,,,0,0.0,-0.825,0.0,0.0,0.0,True,1.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy4_resource_environment_weight_probe_quick/toy4_resource_environment_weight_probe_revision_precommitment_peer_evidence_resource_envw0p5_seed01.yaml,experiments/runs/20260521_104632_351297_toy4_resource_environment_weight_probe_quick_toy4_resource_environment_weight_probe_revision_precommitment_peer_evidence_resource_envw0p5_seed01,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
toy4_resource_environment_weight_probe_quick,toy4_resource_environment_weight_probe,toy4,revision_precommitment_peer_evidence_resource_envw0p5,resource_environment_weight_probe,baseline,resource_environment_weight_probe,2,final_mean_payoff,0.0,maximize,mean_payoff,0.6,0.005,0.0,0.6,False,False,,False,,,5,0.0,0.0,,,,,0,0.0,-0.825,0.0,0.0,0.0,True,1.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy4_resource_environment_weight_probe_quick/toy4_resource_environment_weight_probe_revision_precommitment_peer_evidence_resource_envw0p5_seed02.yaml,experiments/runs/20260521_104651_742634_toy4_resource_environment_weight_probe_quick_toy4_resource_environment_weight_probe_revision_precommitment_peer_evidence_resource_envw0p5_seed02,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
toy4_resource_environment_weight_probe_quick,toy4_resource_environment_weight_probe,toy4,revision_precommitment_peer_evidence_resource_envw0p5,resource_environment_weight_probe,baseline,resource_environment_weight_probe,3,final_mean_payoff,-0.01,maximize,mean_payoff,0.6,0.005,-0.01,0.61,False,False,,False,,,5,0.0,-0.004,,,,,0,0.0,-0.833,0.0,0.0,0.0,True,1.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy4_resource_environment_weight_probe_quick/toy4_resource_environment_weight_probe_revision_precommitment_peer_evidence_resource_envw0p5_seed03.yaml,experiments/runs/20260521_104710_882079_toy4_resource_environment_weight_probe_quick_toy4_resource_environment_weight_probe_revision_precommitment_peer_evidence_resource_envw0p5_seed03,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
toy4_resource_environment_weight_probe_quick,toy4_resource_environment_weight_probe,toy4,revision_precommitment_peer_evidence_resource_envw1p0,resource_environment_weight_probe,baseline,resource_environment_weight_probe,1,final_mean_payoff,-0.09,maximize,mean_payoff,0.6,0.005,-0.09,0.69,False,False,,False,,,5,0.0,-0.126,,,,,0,0.0,0.03100000000000014,1.0,1.0,0.0,True,1.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy4_resource_environment_weight_probe_quick/toy4_resource_environment_weight_probe_revision_precommitment_peer_evidence_resource_envw1p0_seed01.yaml,experiments/runs/20260521_104729_957249_toy4_resource_environment_weight_probe_quick_toy4_resource_environment_weight_probe_revision_precommitment_peer_evidence_resource_envw1p0_seed01,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
