label,case,toy,variant,group,baseline_group,nabm_group,seed,primary_metric,metric_value,direction,ceiling_metric,ceiling_value,ceiling_tolerance,ceiling_metric_value,ceiling_gap,final_within_ceiling,ever_reached_ceiling,time_to_ceiling,config_path,run_dir,nabm_status,neural_role,social_channels,reference_policies
toy24_objective_family_v2_quick,toy2_objective_family_v2,toy2,reputation_imitation,baseline,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,3,experiments/configs/generated/evidence_matrix/toy24_objective_family_v2_quick/toy2_objective_family_v2_reputation_imitation_seed01.yaml,experiments/runs/20260513_110918_210902_toy24_objective_family_v2_quick_toy2_objective_family_v2_reputation_imitation_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_objective_family_v2_quick,toy2_objective_family_v2,toy2,reputation_imitation,baseline,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,3,experiments/configs/generated/evidence_matrix/toy24_objective_family_v2_quick/toy2_objective_family_v2_reputation_imitation_seed02.yaml,experiments/runs/20260513_110918_672608_toy24_objective_family_v2_quick_toy2_objective_family_v2_reputation_imitation_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_objective_family_v2_quick,toy2_objective_family_v2,toy2,reputation_imitation,baseline,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,2,experiments/configs/generated/evidence_matrix/toy24_objective_family_v2_quick/toy2_objective_family_v2_reputation_imitation_seed03.yaml,experiments/runs/20260513_110919_127366_toy24_objective_family_v2_quick_toy2_objective_family_v2_reputation_imitation_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_objective_family_v2_quick,toy2_objective_family_v2,toy2,material,nabm,baseline,nabm,1,final_mean_payoff,1.0,maximize,mean_payoff,3.0,0.001,1.0,2.0,False,False,,experiments/configs/generated/evidence_matrix/toy24_objective_family_v2_quick/toy2_objective_family_v2_material_seed01.yaml,experiments/runs/20260513_110919_610596_toy24_objective_family_v2_quick_toy2_objective_family_v2_material_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_objective_family_v2_quick,toy2_objective_family_v2,toy2,material,nabm,baseline,nabm,2,final_mean_payoff,1.03,maximize,mean_payoff,3.0,0.001,1.03,1.97,False,False,,experiments/configs/generated/evidence_matrix/toy24_objective_family_v2_quick/toy2_objective_family_v2_material_seed02.yaml,experiments/runs/20260513_110927_855166_toy24_objective_family_v2_quick_toy2_objective_family_v2_material_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_objective_family_v2_quick,toy2_objective_family_v2,toy2,material,nabm,baseline,nabm,3,final_mean_payoff,1.15,maximize,mean_payoff,3.0,0.001,1.15,1.85,False,False,,experiments/configs/generated/evidence_matrix/toy24_objective_family_v2_quick/toy2_objective_family_v2_material_seed03.yaml,experiments/runs/20260513_110934_056537_toy24_objective_family_v2_quick_toy2_objective_family_v2_material_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_objective_family_v2_quick,toy2_objective_family_v2,toy2,linear_balanced,nabm,baseline,nabm,1,final_mean_payoff,2.99,maximize,mean_payoff,3.0,0.001,2.99,0.009999999999999787,False,True,32,experiments/configs/generated/evidence_matrix/toy24_objective_family_v2_quick/toy2_objective_family_v2_linear_balanced_seed01.yaml,experiments/runs/20260513_110940_159357_toy24_objective_family_v2_quick_toy2_objective_family_v2_linear_balanced_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_objective_family_v2_quick,toy2_objective_family_v2,toy2,linear_balanced,nabm,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,30,experiments/configs/generated/evidence_matrix/toy24_objective_family_v2_quick/toy2_objective_family_v2_linear_balanced_seed02.yaml,experiments/runs/20260513_110946_086210_toy24_objective_family_v2_quick_toy2_objective_family_v2_linear_balanced_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_objective_family_v2_quick,toy2_objective_family_v2,toy2,linear_balanced,nabm,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,28,experiments/configs/generated/evidence_matrix/toy24_objective_family_v2_quick/toy2_objective_family_v2_linear_balanced_seed03.yaml,experiments/runs/20260513_110952_089847_toy24_objective_family_v2_quick_toy2_objective_family_v2_linear_balanced_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_objective_family_v2_quick,toy2_objective_family_v2,toy2,linear_welfare_heavy,nabm,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,23,experiments/configs/generated/evidence_matrix/toy24_objective_family_v2_quick/toy2_objective_family_v2_linear_welfare_heavy_seed01.yaml,experiments/runs/20260513_110958_448165_toy24_objective_family_v2_quick_toy2_objective_family_v2_linear_welfare_heavy_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
