label,case,toy,variant,group,baseline_group,nabm_group,seed,primary_metric,metric_value,direction,ceiling_metric,ceiling_value,ceiling_tolerance,ceiling_metric_value,ceiling_gap,final_within_ceiling,ever_reached_ceiling,time_to_ceiling,config_path,run_dir,nabm_status,neural_role,social_channels,reference_policies
toy24_teacher_alignment_diagnostics_quick,toy2_teacher_alignment_diagnostics,toy2,reputation_imitation,baseline,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,3,experiments/configs/generated/evidence_matrix/toy24_teacher_alignment_diagnostics_quick/toy2_teacher_alignment_diagnostics_reputation_imitation_seed01.yaml,experiments/runs/20260513_151210_568446_toy24_teacher_alignment_diagnostics_quick_toy2_teacher_alignment_diagnostics_reputation_imitation_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_teacher_alignment_diagnostics_quick,toy2_teacher_alignment_diagnostics,toy2,reputation_imitation,baseline,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,3,experiments/configs/generated/evidence_matrix/toy24_teacher_alignment_diagnostics_quick/toy2_teacher_alignment_diagnostics_reputation_imitation_seed02.yaml,experiments/runs/20260513_151211_038693_toy24_teacher_alignment_diagnostics_quick_toy2_teacher_alignment_diagnostics_reputation_imitation_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_teacher_alignment_diagnostics_quick,toy2_teacher_alignment_diagnostics,toy2,reputation_imitation,baseline,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,2,experiments/configs/generated/evidence_matrix/toy24_teacher_alignment_diagnostics_quick/toy2_teacher_alignment_diagnostics_reputation_imitation_seed03.yaml,experiments/runs/20260513_151211_504658_toy24_teacher_alignment_diagnostics_quick_toy2_teacher_alignment_diagnostics_reputation_imitation_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_teacher_alignment_diagnostics_quick,toy2_teacher_alignment_diagnostics,toy2,linear_welfare_heavy,nabm,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,23,experiments/configs/generated/evidence_matrix/toy24_teacher_alignment_diagnostics_quick/toy2_teacher_alignment_diagnostics_linear_welfare_heavy_seed01.yaml,experiments/runs/20260513_151211_960697_toy24_teacher_alignment_diagnostics_quick_toy2_teacher_alignment_diagnostics_linear_welfare_heavy_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_teacher_alignment_diagnostics_quick,toy2_teacher_alignment_diagnostics,toy2,linear_welfare_heavy,nabm,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,26,experiments/configs/generated/evidence_matrix/toy24_teacher_alignment_diagnostics_quick/toy2_teacher_alignment_diagnostics_linear_welfare_heavy_seed02.yaml,experiments/runs/20260513_151218_749582_toy24_teacher_alignment_diagnostics_quick_toy2_teacher_alignment_diagnostics_linear_welfare_heavy_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_teacher_alignment_diagnostics_quick,toy2_teacher_alignment_diagnostics,toy2,linear_welfare_heavy,nabm,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,22,experiments/configs/generated/evidence_matrix/toy24_teacher_alignment_diagnostics_quick/toy2_teacher_alignment_diagnostics_linear_welfare_heavy_seed03.yaml,experiments/runs/20260513_151224_554569_toy24_teacher_alignment_diagnostics_quick_toy2_teacher_alignment_diagnostics_linear_welfare_heavy_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_teacher_alignment_diagnostics_quick,toy2_teacher_alignment_diagnostics,toy2,decision_bootstrap_w1p0_e5_linear_welfare,nabm,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,20,experiments/configs/generated/evidence_matrix/toy24_teacher_alignment_diagnostics_quick/toy2_teacher_alignment_diagnostics_decision_bootstrap_w1p0_e5_linear_welfare_seed01.yaml,experiments/runs/20260513_151230_156734_toy24_teacher_alignment_diagnostics_quick_toy2_teacher_alignment_diagnostics_decision_bootstrap_w1p0_e5_linear_welfare_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_teacher_alignment_diagnostics_quick,toy2_teacher_alignment_diagnostics,toy2,decision_bootstrap_w1p0_e5_linear_welfare,nabm,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,26,experiments/configs/generated/evidence_matrix/toy24_teacher_alignment_diagnostics_quick/toy2_teacher_alignment_diagnostics_decision_bootstrap_w1p0_e5_linear_welfare_seed02.yaml,experiments/runs/20260513_151235_869696_toy24_teacher_alignment_diagnostics_quick_toy2_teacher_alignment_diagnostics_decision_bootstrap_w1p0_e5_linear_welfare_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_teacher_alignment_diagnostics_quick,toy2_teacher_alignment_diagnostics,toy2,decision_bootstrap_w1p0_e5_linear_welfare,nabm,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,22,experiments/configs/generated/evidence_matrix/toy24_teacher_alignment_diagnostics_quick/toy2_teacher_alignment_diagnostics_decision_bootstrap_w1p0_e5_linear_welfare_seed03.yaml,experiments/runs/20260513_151241_548112_toy24_teacher_alignment_diagnostics_quick_toy2_teacher_alignment_diagnostics_decision_bootstrap_w1p0_e5_linear_welfare_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_teacher_alignment_diagnostics_quick,toy2_teacher_alignment_diagnostics,toy2,distill_bootstrap_w1p0_e5_linear_welfare,nabm,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,32,experiments/configs/generated/evidence_matrix/toy24_teacher_alignment_diagnostics_quick/toy2_teacher_alignment_diagnostics_distill_bootstrap_w1p0_e5_linear_welfare_seed01.yaml,experiments/runs/20260513_151247_225999_toy24_teacher_alignment_diagnostics_quick_toy2_teacher_alignment_diagnostics_distill_bootstrap_w1p0_e5_linear_welfare_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
