label,regime,game_family,purpose,payoff_T,payoff_R,payoff_P,payoff_S,update_rule,mixer,peer_rule,seed,initial_cooperation_probability,policy_prior_mode,policy_prior_cooperation_probability,revision_rate,alpha,selection_strength,policy_temperature,payoff_transform,exploration_epsilon,learning_enabled,run_dir,final_cooperation_rate,final_mean_payoff,final_mean_policy_cooperation,final_cooperation_components,final_largest_cooperation_cluster_fraction,final_fragmentation_components
toy2_stag_hunt_prior_diagnostic_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.5,default,,0.1,0.0,1.0,1.0,linear,0.0,False,/tmp/toy2_stag_hunt_prior_diagnostic_seed01_03_runs/20260430_135928_668524_toy2_stag_hunt_prior_diagnostic_seed01_03_stag_hunt_neural_policy_none_p0p5_prior_default_r0p1_a0p0_seed01,0.49,2.26,0.49916622042655945,7,0.36,100
toy2_stag_hunt_prior_diagnostic_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,2,0.5,default,,0.1,0.0,1.0,1.0,linear,0.0,False,/tmp/toy2_stag_hunt_prior_diagnostic_seed01_03_runs/20260430_135929_419015_toy2_stag_hunt_prior_diagnostic_seed01_03_stag_hunt_neural_policy_none_p0p5_prior_default_r0p1_a0p0_seed02,0.56,2.46,0.5151552557945251,1,0.56,100
toy2_stag_hunt_prior_diagnostic_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,3,0.5,default,,0.1,0.0,1.0,1.0,linear,0.0,False,/tmp/toy2_stag_hunt_prior_diagnostic_seed01_03_runs/20260430_135930_090510_toy2_stag_hunt_prior_diagnostic_seed01_03_stag_hunt_neural_policy_none_p0p5_prior_default_r0p1_a0p0_seed03,0.58,2.44,0.491080641746521,2,0.57,100
toy2_stag_hunt_prior_diagnostic_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.5,match_p0,0.5,0.1,0.0,1.0,1.0,linear,0.0,False,/tmp/toy2_stag_hunt_prior_diagnostic_seed01_03_runs/20260430_135930_755239_toy2_stag_hunt_prior_diagnostic_seed01_03_stag_hunt_neural_policy_none_p0p5_prior_match_p0_r0p1_a0p0_seed01,0.51,2.315,0.5,6,0.4,100
toy2_stag_hunt_prior_diagnostic_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,2,0.5,match_p0,0.5,0.1,0.0,1.0,1.0,linear,0.0,False,/tmp/toy2_stag_hunt_prior_diagnostic_seed01_03_runs/20260430_135931_421703_toy2_stag_hunt_prior_diagnostic_seed01_03_stag_hunt_neural_policy_none_p0p5_prior_match_p0_r0p1_a0p0_seed02,0.58,2.47,0.5,1,0.58,100
toy2_stag_hunt_prior_diagnostic_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,3,0.5,match_p0,0.5,0.1,0.0,1.0,1.0,linear,0.0,False,/tmp/toy2_stag_hunt_prior_diagnostic_seed01_03_runs/20260430_135932_089587_toy2_stag_hunt_prior_diagnostic_seed01_03_stag_hunt_neural_policy_none_p0p5_prior_match_p0_r0p1_a0p0_seed03,0.57,2.345,0.5,4,0.39,100
toy2_stag_hunt_prior_diagnostic_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.5,0.5,0.5,0.1,0.0,1.0,1.0,linear,0.0,False,/tmp/toy2_stag_hunt_prior_diagnostic_seed01_03_runs/20260430_135932_752207_toy2_stag_hunt_prior_diagnostic_seed01_03_stag_hunt_neural_policy_none_p0p5_prior_0p5_r0p1_a0p0_seed01,0.51,2.315,0.5,6,0.4,100
toy2_stag_hunt_prior_diagnostic_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,2,0.5,0.5,0.5,0.1,0.0,1.0,1.0,linear,0.0,False,/tmp/toy2_stag_hunt_prior_diagnostic_seed01_03_runs/20260430_135933_424819_toy2_stag_hunt_prior_diagnostic_seed01_03_stag_hunt_neural_policy_none_p0p5_prior_0p5_r0p1_a0p0_seed02,0.58,2.47,0.5,1,0.58,100
toy2_stag_hunt_prior_diagnostic_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,3,0.5,0.5,0.5,0.1,0.0,1.0,1.0,linear,0.0,False,/tmp/toy2_stag_hunt_prior_diagnostic_seed01_03_runs/20260430_135934_092846_toy2_stag_hunt_prior_diagnostic_seed01_03_stag_hunt_neural_policy_none_p0p5_prior_0p5_r0p1_a0p0_seed03,0.57,2.345,0.5,4,0.39,100
toy2_stag_hunt_prior_diagnostic_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.5,default,,0.1,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_prior_diagnostic_seed01_03_runs/20260430_135934_760278_toy2_stag_hunt_prior_diagnostic_seed01_03_stag_hunt_neural_policy_none_p0p5_prior_default_r0p1_a0p0_seed01,0.51,2.33,0.4678920805454254,5,0.38,100
