label,case,toy,variant,group,baseline_group,nabm_group,seed,primary_metric,metric_value,direction,ceiling_metric,ceiling_value,ceiling_tolerance,ceiling_metric_value,ceiling_gap,final_within_ceiling,ever_reached_ceiling,time_to_ceiling,config_path,run_dir,nabm_status,neural_role,social_channels,reference_policies
toy24_basin_transition_dataset_quick,toy2_basin_dataset,toy2,linear_welfare_heavy,baseline,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,23,experiments/configs/generated/evidence_matrix/toy24_basin_transition_dataset_quick/toy2_basin_dataset_linear_welfare_heavy_seed01.yaml,experiments/runs/20260514_123134_809448_toy24_basin_transition_dataset_quick_toy2_basin_dataset_linear_welfare_heavy_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_transition_dataset_quick,toy2_basin_dataset,toy2,linear_welfare_heavy,baseline,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,26,experiments/configs/generated/evidence_matrix/toy24_basin_transition_dataset_quick/toy2_basin_dataset_linear_welfare_heavy_seed02.yaml,experiments/runs/20260514_123143_696450_toy24_basin_transition_dataset_quick_toy2_basin_dataset_linear_welfare_heavy_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_transition_dataset_quick,toy2_basin_dataset,toy2,linear_welfare_heavy,baseline,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,22,experiments/configs/generated/evidence_matrix/toy24_basin_transition_dataset_quick/toy2_basin_dataset_linear_welfare_heavy_seed03.yaml,experiments/runs/20260514_123150_412489_toy24_basin_transition_dataset_quick_toy2_basin_dataset_linear_welfare_heavy_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_transition_dataset_quick,toy2_basin_dataset,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1,nabm,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,9,experiments/configs/generated/evidence_matrix/toy24_basin_transition_dataset_quick/toy2_basin_dataset_mixed_objective_basin_escalate_credit_p3_min2_h1_seed01.yaml,experiments/runs/20260514_123157_508289_toy24_basin_transition_dataset_quick_toy2_basin_dataset_mixed_objective_basin_escalate_credit_p3_min2_h1_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_transition_dataset_quick,toy2_basin_dataset,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1,nabm,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,10,experiments/configs/generated/evidence_matrix/toy24_basin_transition_dataset_quick/toy2_basin_dataset_mixed_objective_basin_escalate_credit_p3_min2_h1_seed02.yaml,experiments/runs/20260514_123212_852489_toy24_basin_transition_dataset_quick_toy2_basin_dataset_mixed_objective_basin_escalate_credit_p3_min2_h1_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_transition_dataset_quick,toy2_basin_dataset,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1,nabm,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,9,experiments/configs/generated/evidence_matrix/toy24_basin_transition_dataset_quick/toy2_basin_dataset_mixed_objective_basin_escalate_credit_p3_min2_h1_seed03.yaml,experiments/runs/20260514_123228_536958_toy24_basin_transition_dataset_quick_toy2_basin_dataset_mixed_objective_basin_escalate_credit_p3_min2_h1_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_transition_dataset_quick,toy4_basin_dataset,toy4,linear_welfare_heavy,baseline,baseline,nabm,1,final_mean_payoff,0.594,maximize,mean_payoff,0.6,0.005,0.594,0.006000000000000005,False,True,19,experiments/configs/generated/evidence_matrix/toy24_basin_transition_dataset_quick/toy4_basin_dataset_linear_welfare_heavy_seed01.yaml,experiments/runs/20260514_123242_987296_toy24_basin_transition_dataset_quick_toy4_basin_dataset_linear_welfare_heavy_seed01,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
toy24_basin_transition_dataset_quick,toy4_basin_dataset,toy4,linear_welfare_heavy,baseline,baseline,nabm,2,final_mean_payoff,0.6,maximize,mean_payoff,0.6,0.005,0.6,0.0,True,True,21,experiments/configs/generated/evidence_matrix/toy24_basin_transition_dataset_quick/toy4_basin_dataset_linear_welfare_heavy_seed02.yaml,experiments/runs/20260514_123252_731664_toy24_basin_transition_dataset_quick_toy4_basin_dataset_linear_welfare_heavy_seed02,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
toy24_basin_transition_dataset_quick,toy4_basin_dataset,toy4,linear_welfare_heavy,baseline,baseline,nabm,3,final_mean_payoff,0.594,maximize,mean_payoff,0.6,0.005,0.594,0.006000000000000005,False,True,23,experiments/configs/generated/evidence_matrix/toy24_basin_transition_dataset_quick/toy4_basin_dataset_linear_welfare_heavy_seed03.yaml,experiments/runs/20260514_123302_657095_toy24_basin_transition_dataset_quick_toy4_basin_dataset_linear_welfare_heavy_seed03,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
toy24_basin_transition_dataset_quick,toy4_basin_dataset,toy4,mixed_objective_basin_escalate_credit_p3_min2_h1,nabm,baseline,nabm,1,final_mean_payoff,0.6,maximize,mean_payoff,0.6,0.005,0.6,0.0,True,True,12,experiments/configs/generated/evidence_matrix/toy24_basin_transition_dataset_quick/toy4_basin_dataset_mixed_objective_basin_escalate_credit_p3_min2_h1_seed01.yaml,experiments/runs/20260514_123313_036603_toy24_basin_transition_dataset_quick_toy4_basin_dataset_mixed_objective_basin_escalate_credit_p3_min2_h1_seed01,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
