label,case,toy,variant,group,baseline_group,nabm_group,seed,primary_metric,metric_value,direction,ceiling_metric,ceiling_value,ceiling_tolerance,ceiling_metric_value,ceiling_gap,final_within_ceiling,ever_reached_ceiling,time_to_ceiling,config_path,run_dir,nabm_status,neural_role,social_channels,reference_policies
toy24_teacher_bootstrap_quick,toy2_teacher_bootstrap,toy2,reputation_imitation,baseline,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,3,experiments/configs/generated/evidence_matrix/toy24_teacher_bootstrap_quick/toy2_teacher_bootstrap_reputation_imitation_seed01.yaml,experiments/runs/20260513_115251_956574_toy24_teacher_bootstrap_quick_toy2_teacher_bootstrap_reputation_imitation_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_teacher_bootstrap_quick,toy2_teacher_bootstrap,toy2,reputation_imitation,baseline,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,3,experiments/configs/generated/evidence_matrix/toy24_teacher_bootstrap_quick/toy2_teacher_bootstrap_reputation_imitation_seed02.yaml,experiments/runs/20260513_115252_396474_toy24_teacher_bootstrap_quick_toy2_teacher_bootstrap_reputation_imitation_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_teacher_bootstrap_quick,toy2_teacher_bootstrap,toy2,reputation_imitation,baseline,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,2,experiments/configs/generated/evidence_matrix/toy24_teacher_bootstrap_quick/toy2_teacher_bootstrap_reputation_imitation_seed03.yaml,experiments/runs/20260513_115252_911277_toy24_teacher_bootstrap_quick_toy2_teacher_bootstrap_reputation_imitation_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_teacher_bootstrap_quick,toy2_teacher_bootstrap,toy2,linear_welfare_heavy,nabm,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,23,experiments/configs/generated/evidence_matrix/toy24_teacher_bootstrap_quick/toy2_teacher_bootstrap_linear_welfare_heavy_seed01.yaml,experiments/runs/20260513_115253_401517_toy24_teacher_bootstrap_quick_toy2_teacher_bootstrap_linear_welfare_heavy_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_teacher_bootstrap_quick,toy2_teacher_bootstrap,toy2,linear_welfare_heavy,nabm,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,26,experiments/configs/generated/evidence_matrix/toy24_teacher_bootstrap_quick/toy2_teacher_bootstrap_linear_welfare_heavy_seed02.yaml,experiments/runs/20260513_115300_375366_toy24_teacher_bootstrap_quick_toy2_teacher_bootstrap_linear_welfare_heavy_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_teacher_bootstrap_quick,toy2_teacher_bootstrap,toy2,linear_welfare_heavy,nabm,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,22,experiments/configs/generated/evidence_matrix/toy24_teacher_bootstrap_quick/toy2_teacher_bootstrap_linear_welfare_heavy_seed03.yaml,experiments/runs/20260513_115317_848435_toy24_teacher_bootstrap_quick_toy2_teacher_bootstrap_linear_welfare_heavy_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_teacher_bootstrap_quick,toy2_teacher_bootstrap,toy2,nonlinear_interaction,nabm,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,32,experiments/configs/generated/evidence_matrix/toy24_teacher_bootstrap_quick/toy2_teacher_bootstrap_nonlinear_interaction_seed01.yaml,experiments/runs/20260513_115324_647916_toy24_teacher_bootstrap_quick_toy2_teacher_bootstrap_nonlinear_interaction_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_teacher_bootstrap_quick,toy2_teacher_bootstrap,toy2,nonlinear_interaction,nabm,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,26,experiments/configs/generated/evidence_matrix/toy24_teacher_bootstrap_quick/toy2_teacher_bootstrap_nonlinear_interaction_seed02.yaml,experiments/runs/20260513_115330_641274_toy24_teacher_bootstrap_quick_toy2_teacher_bootstrap_nonlinear_interaction_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_teacher_bootstrap_quick,toy2_teacher_bootstrap,toy2,nonlinear_interaction,nabm,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,28,experiments/configs/generated/evidence_matrix/toy24_teacher_bootstrap_quick/toy2_teacher_bootstrap_nonlinear_interaction_seed03.yaml,experiments/runs/20260513_115336_599457_toy24_teacher_bootstrap_quick_toy2_teacher_bootstrap_nonlinear_interaction_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_teacher_bootstrap_quick,toy2_teacher_bootstrap,toy2,teacher_bootstrap_w0p5_e5_linear_welfare,nabm,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,23,experiments/configs/generated/evidence_matrix/toy24_teacher_bootstrap_quick/toy2_teacher_bootstrap_teacher_bootstrap_w0p5_e5_linear_welfare_seed01.yaml,experiments/runs/20260513_115342_089396_toy24_teacher_bootstrap_quick_toy2_teacher_bootstrap_teacher_bootstrap_w0p5_e5_linear_welfare_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
