label,case,toy,variant,group,baseline_group,nabm_group,seed,primary_metric,metric_value,direction,ceiling_metric,ceiling_value,ceiling_tolerance,ceiling_metric_value,ceiling_gap,final_within_ceiling,ever_reached_ceiling,time_to_ceiling,config_path,run_dir,nabm_status,neural_role,social_channels,reference_policies
toy24_basin_learned_credit_candidate_context_replay_quick,toy2_basin_learned_credit_candidate_context,toy2,linear_welfare_heavy,baseline,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,23,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_candidate_context_replay_quick/toy2_basin_learned_credit_candidate_context_linear_welfare_heavy_seed01.yaml,experiments/runs/20260514_160439_775306_toy24_basin_learned_credit_candidate_context_replay_quick_toy2_basin_learned_credit_candidate_context_linear_welfare_heavy_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_candidate_context_replay_quick,toy2_basin_learned_credit_candidate_context,toy2,linear_welfare_heavy,baseline,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,26,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_candidate_context_replay_quick/toy2_basin_learned_credit_candidate_context_linear_welfare_heavy_seed02.yaml,experiments/runs/20260514_160446_754513_toy24_basin_learned_credit_candidate_context_replay_quick_toy2_basin_learned_credit_candidate_context_linear_welfare_heavy_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_candidate_context_replay_quick,toy2_basin_learned_credit_candidate_context,toy2,linear_welfare_heavy,baseline,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,22,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_candidate_context_replay_quick/toy2_basin_learned_credit_candidate_context_linear_welfare_heavy_seed03.yaml,experiments/runs/20260514_160452_566518_toy24_basin_learned_credit_candidate_context_replay_quick_toy2_basin_learned_credit_candidate_context_linear_welfare_heavy_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_candidate_context_replay_quick,toy2_basin_learned_credit_candidate_context,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_prototype,diagnostic,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,9,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_candidate_context_replay_quick/toy2_basin_learned_credit_candidate_context_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed01.yaml,experiments/runs/20260514_160458_330397_toy24_basin_learned_credit_candidate_context_replay_quick_toy2_basin_learned_credit_candidate_context_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_candidate_context_replay_quick,toy2_basin_learned_credit_candidate_context,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_prototype,diagnostic,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,10,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_candidate_context_replay_quick/toy2_basin_learned_credit_candidate_context_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed02.yaml,experiments/runs/20260514_160512_006458_toy24_basin_learned_credit_candidate_context_replay_quick_toy2_basin_learned_credit_candidate_context_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_candidate_context_replay_quick,toy2_basin_learned_credit_candidate_context,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_prototype,diagnostic,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,9,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_candidate_context_replay_quick/toy2_basin_learned_credit_candidate_context_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed03.yaml,experiments/runs/20260514_160526_213445_toy24_basin_learned_credit_candidate_context_replay_quick_toy2_basin_learned_credit_candidate_context_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_candidate_context_replay_quick,toy2_basin_learned_credit_candidate_context,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_learned_candidate_context_prototype,nabm,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,9,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_candidate_context_replay_quick/toy2_basin_learned_credit_candidate_context_mixed_objective_basin_escalate_credit_p3_min2_h1_learned_candidate_context_prototype_seed01.yaml,experiments/runs/20260514_160540_729633_toy24_basin_learned_credit_candidate_context_replay_quick_toy2_basin_learned_credit_candidate_context_mixed_objective_basin_escalate_credit_p3_min2_h1_learned_candidate_context_prototype_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_candidate_context_replay_quick,toy2_basin_learned_credit_candidate_context,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_learned_candidate_context_prototype,nabm,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,10,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_candidate_context_replay_quick/toy2_basin_learned_credit_candidate_context_mixed_objective_basin_escalate_credit_p3_min2_h1_learned_candidate_context_prototype_seed02.yaml,experiments/runs/20260514_160555_667469_toy24_basin_learned_credit_candidate_context_replay_quick_toy2_basin_learned_credit_candidate_context_mixed_objective_basin_escalate_credit_p3_min2_h1_learned_candidate_context_prototype_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_candidate_context_replay_quick,toy2_basin_learned_credit_candidate_context,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_learned_candidate_context_prototype,nabm,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,9,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_candidate_context_replay_quick/toy2_basin_learned_credit_candidate_context_mixed_objective_basin_escalate_credit_p3_min2_h1_learned_candidate_context_prototype_seed03.yaml,experiments/runs/20260514_160610_291643_toy24_basin_learned_credit_candidate_context_replay_quick_toy2_basin_learned_credit_candidate_context_mixed_objective_basin_escalate_credit_p3_min2_h1_learned_candidate_context_prototype_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_candidate_context_replay_quick,toy2_basin_learned_credit_candidate_context,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_learned_candidate_context_zero,diagnostic,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,9,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_candidate_context_replay_quick/toy2_basin_learned_credit_candidate_context_mixed_objective_basin_escalate_credit_p3_min2_h1_learned_candidate_context_zero_seed01.yaml,experiments/runs/20260514_160625_710999_toy24_basin_learned_credit_candidate_context_replay_quick_toy2_basin_learned_credit_candidate_context_mixed_objective_basin_escalate_credit_p3_min2_h1_learned_candidate_context_zero_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
