label,manifest_path,runs_path,profile_json_path,profile_markdown_path,profile_cases_path,status,passed,case,toy,case_status,best_main_variant,best_baseline_variant,final_ceiling_hits,expected_seed_count,mean_time_to_ceiling,metric_mean,terminal_ceiling_rate_mean,issue_codes,notes,profile_notes,skipped_reason
toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick,experiments/evidence/toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick.yaml,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick_runs.csv,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick_profile.json,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick_profile.md,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick_profile_cases.csv,fail,False,toy2_precommitment_peer_evidence_stag_hunt_calibration,toy2,pass,revision_precommitment_peer_evidence_stag_hunt_p0p35,reputation_imitation_stag_hunt_p0p35,3,3,10.0,4.0,1.0,,"toy24_basin_credit_evidence,toy24_objective_basin_blend,toy24_revision_operator_path","profile_has_case_issues,toy24_objective_basin_evidence,toy24_revision_operator_evidence",
toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick,experiments/evidence/toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick.yaml,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick_runs.csv,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick_profile.json,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick_profile.md,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick_profile_cases.csv,fail,False,toy4_precommitment_peer_evidence_resource_coupled_calibration,toy4,fail,revision_precommitment_peer_evidence_resource_p0p35,reputation_imitation_resource_p0p35,0,3,,-0.0033333333333333335,0.0,"gate_case_fail,toy24_best_main_ceiling_miss","toy24_basin_credit_evidence,toy24_objective_basin_blend,toy24_revision_operator_path,toy24_main_candidate_ceiling_miss","profile_has_case_issues,toy24_objective_basin_evidence,toy24_revision_operator_evidence",
toy24_precommitment_peer_evidence_noisy_reputation_stress_quick,experiments/evidence/toy24_precommitment_peer_evidence_noisy_reputation_stress_quick.yaml,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_noisy_reputation_stress_quick_runs.csv,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_noisy_reputation_stress_quick_profile.json,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_noisy_reputation_stress_quick_profile.md,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_noisy_reputation_stress_quick_profile_cases.csv,pass,True,toy2_precommitment_peer_evidence_noisy_reputation_stress,toy2,pass,revision_precommitment_peer_evidence_noisy_s1p0,reputation_imitation_noisy_s1p0,5,5,9.4,3.0,1.0,,"toy24_basin_credit_evidence,toy24_objective_basin_blend,toy24_revision_operator_path","toy24_objective_basin_evidence,toy24_revision_operator_evidence",
toy24_precommitment_peer_evidence_noisy_reputation_stress_quick,experiments/evidence/toy24_precommitment_peer_evidence_noisy_reputation_stress_quick.yaml,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_noisy_reputation_stress_quick_runs.csv,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_noisy_reputation_stress_quick_profile.json,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_noisy_reputation_stress_quick_profile.md,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_noisy_reputation_stress_quick_profile_cases.csv,pass,True,toy4_precommitment_peer_evidence_noisy_reputation_stress,toy4,pass,revision_precommitment_peer_evidence_noisy_s1p0,reputation_imitation_noisy_s1p0,5,5,9.0,0.6,1.0,,"toy24_basin_credit_evidence,toy24_objective_basin_blend,toy24_revision_operator_path,toy24_late_flip_hazard","toy24_objective_basin_evidence,toy24_revision_operator_evidence",
toy24_precommitment_peer_evidence_open_boundary_sparse_seed_stress_quick,experiments/evidence/toy24_precommitment_peer_evidence_open_boundary_sparse_seed_stress_quick.yaml,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_open_boundary_sparse_seed_stress_quick_runs.csv,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_open_boundary_sparse_seed_stress_quick_profile.json,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_open_boundary_sparse_seed_stress_quick_profile.md,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_open_boundary_sparse_seed_stress_quick_profile_cases.csv,pass,True,toy2_precommitment_peer_evidence_open_boundary_sparse_seed_stress,toy2,pass,revision_precommitment_peer_evidence_open_sparse_p0p1,reputation_imitation_open_sparse_p0p1,5,5,9.4,3.0,1.0,,"toy24_basin_credit_evidence,toy24_objective_basin_blend,toy24_revision_operator_path","toy24_objective_basin_evidence,toy24_revision_operator_evidence",
toy24_precommitment_peer_evidence_open_boundary_sparse_seed_stress_quick,experiments/evidence/toy24_precommitment_peer_evidence_open_boundary_sparse_seed_stress_quick.yaml,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_open_boundary_sparse_seed_stress_quick_runs.csv,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_open_boundary_sparse_seed_stress_quick_profile.json,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_open_boundary_sparse_seed_stress_quick_profile.md,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_open_boundary_sparse_seed_stress_quick_profile_cases.csv,pass,True,toy4_precommitment_peer_evidence_open_boundary_sparse_seed_stress,toy4,pass,revision_precommitment_peer_evidence_open_sparse_p0p1,reputation_imitation_open_sparse_p0p1,5,5,9.0,0.6,1.0,,"toy24_basin_credit_evidence,toy24_objective_basin_blend,toy24_revision_operator_path,toy24_late_flip_hazard","toy24_objective_basin_evidence,toy24_revision_operator_evidence",
toy24_precommitment_peer_evidence_sparse_seed_stress_quick,experiments/evidence/toy24_precommitment_peer_evidence_sparse_seed_stress_quick.yaml,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_sparse_seed_stress_quick_runs.csv,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_sparse_seed_stress_quick_profile.json,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_sparse_seed_stress_quick_profile.md,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_sparse_seed_stress_quick_profile_cases.csv,pass,True,toy2_precommitment_peer_evidence_sparse_seed_stress,toy2,pass,revision_precommitment_peer_evidence_sparse_p0p1,reputation_imitation_sparse_p0p1,5,5,9.4,3.0,1.0,,"toy24_basin_credit_evidence,toy24_objective_basin_blend,toy24_revision_operator_path","toy24_objective_basin_evidence,toy24_revision_operator_evidence",
toy24_precommitment_peer_evidence_sparse_seed_stress_quick,experiments/evidence/toy24_precommitment_peer_evidence_sparse_seed_stress_quick.yaml,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_sparse_seed_stress_quick_runs.csv,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_sparse_seed_stress_quick_profile.json,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_sparse_seed_stress_quick_profile.md,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_sparse_seed_stress_quick_profile_cases.csv,pass,True,toy4_precommitment_peer_evidence_sparse_seed_stress,toy4,pass,revision_precommitment_peer_evidence_sparse_p0p1,reputation_imitation_sparse_p0p1,5,5,8.8,0.6,1.0,,"toy24_basin_credit_evidence,toy24_objective_basin_blend,toy24_revision_operator_path","toy24_objective_basin_evidence,toy24_revision_operator_evidence",
toy4_resource_environment_weight_probe_quick,experiments/evidence/toy4_resource_environment_weight_probe_quick.yaml,experiments/results/nabm_effect_matrix/toy4_resource_environment_weight_probe_quick_runs.csv,experiments/results/nabm_effect_matrix/toy4_resource_environment_weight_probe_quick_profile.json,experiments/results/nabm_effect_matrix/toy4_resource_environment_weight_probe_quick_profile.md,experiments/results/nabm_effect_matrix/toy4_resource_environment_weight_probe_quick_profile_cases.csv,fail,False,toy4_resource_environment_weight_probe,toy4,fail,revision_precommitment_peer_evidence_resource_envw0p5,reputation_imitation_resource_p0p35,0,3,,-0.0033333333333333335,0.0,"gate_case_fail,toy24_best_main_ceiling_miss","toy24_basin_credit_evidence,toy24_objective_basin_blend,toy24_revision_operator_path,toy24_main_candidate_ceiling_miss","profile_has_case_issues,toy24_objective_basin_evidence,toy24_revision_operator_evidence",
toy4_resource_lookahead_probe_quick,experiments/evidence/toy4_resource_lookahead_probe_quick.yaml,experiments/results/nabm_effect_matrix/toy4_resource_lookahead_probe_quick_runs.csv,experiments/results/nabm_effect_matrix/toy4_resource_lookahead_probe_quick_profile.json,experiments/results/nabm_effect_matrix/toy4_resource_lookahead_probe_quick_profile.md,experiments/results/nabm_effect_matrix/toy4_resource_lookahead_probe_quick_profile_cases.csv,fail,False,toy4_resource_lookahead_probe,toy4,fail,revision_precommitment_peer_evidence_resource_lookahead_envw2p0,reputation_imitation_resource_p0p35,0,3,,-0.0033333333333333335,0.0,"gate_case_fail,toy24_best_main_ceiling_miss","toy24_basin_credit_evidence,toy24_objective_basin_blend,toy24_revision_operator_path,toy24_main_candidate_ceiling_miss","profile_has_case_issues,toy24_objective_basin_evidence,toy24_revision_operator_evidence",
