label,case,toy,variant,group,baseline_group,nabm_group,seed,primary_metric,metric_value,direction,ceiling_metric,ceiling_value,ceiling_tolerance,ceiling_metric_value,ceiling_gap,final_within_ceiling,ever_reached_ceiling,time_to_ceiling,config_path,run_dir,nabm_status,neural_role,social_channels,reference_policies
toy24_basin_learned_diagnostic_quick,toy2_basin_learned_diagnostic,toy2,linear_welfare_heavy,baseline,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,23,experiments/configs/generated/evidence_matrix/toy24_basin_learned_diagnostic_quick/toy2_basin_learned_diagnostic_linear_welfare_heavy_seed01.yaml,experiments/runs/20260514_151321_092275_toy24_basin_learned_diagnostic_quick_toy2_basin_learned_diagnostic_linear_welfare_heavy_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_diagnostic_quick,toy2_basin_learned_diagnostic,toy2,linear_welfare_heavy,baseline,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,26,experiments/configs/generated/evidence_matrix/toy24_basin_learned_diagnostic_quick/toy2_basin_learned_diagnostic_linear_welfare_heavy_seed02.yaml,experiments/runs/20260514_151329_122372_toy24_basin_learned_diagnostic_quick_toy2_basin_learned_diagnostic_linear_welfare_heavy_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_diagnostic_quick,toy2_basin_learned_diagnostic,toy2,linear_welfare_heavy,baseline,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,22,experiments/configs/generated/evidence_matrix/toy24_basin_learned_diagnostic_quick/toy2_basin_learned_diagnostic_linear_welfare_heavy_seed03.yaml,experiments/runs/20260514_151335_652519_toy24_basin_learned_diagnostic_quick_toy2_basin_learned_diagnostic_linear_welfare_heavy_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_diagnostic_quick,toy2_basin_learned_diagnostic,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_learned_readonly,nabm,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,9,experiments/configs/generated/evidence_matrix/toy24_basin_learned_diagnostic_quick/toy2_basin_learned_diagnostic_mixed_objective_basin_escalate_credit_p3_min2_h1_learned_readonly_seed01.yaml,experiments/runs/20260514_151341_799567_toy24_basin_learned_diagnostic_quick_toy2_basin_learned_diagnostic_mixed_objective_basin_escalate_credit_p3_min2_h1_learned_readonly_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_diagnostic_quick,toy2_basin_learned_diagnostic,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_learned_readonly,nabm,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,10,experiments/configs/generated/evidence_matrix/toy24_basin_learned_diagnostic_quick/toy2_basin_learned_diagnostic_mixed_objective_basin_escalate_credit_p3_min2_h1_learned_readonly_seed02.yaml,experiments/runs/20260514_151355_459784_toy24_basin_learned_diagnostic_quick_toy2_basin_learned_diagnostic_mixed_objective_basin_escalate_credit_p3_min2_h1_learned_readonly_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_diagnostic_quick,toy2_basin_learned_diagnostic,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_learned_readonly,nabm,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,9,experiments/configs/generated/evidence_matrix/toy24_basin_learned_diagnostic_quick/toy2_basin_learned_diagnostic_mixed_objective_basin_escalate_credit_p3_min2_h1_learned_readonly_seed03.yaml,experiments/runs/20260514_151409_373617_toy24_basin_learned_diagnostic_quick_toy2_basin_learned_diagnostic_mixed_objective_basin_escalate_credit_p3_min2_h1_learned_readonly_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_diagnostic_quick,toy4_basin_learned_diagnostic,toy4,linear_welfare_heavy,baseline,baseline,nabm,1,final_mean_payoff,0.594,maximize,mean_payoff,0.6,0.005,0.594,0.006000000000000005,False,True,19,experiments/configs/generated/evidence_matrix/toy24_basin_learned_diagnostic_quick/toy4_basin_learned_diagnostic_linear_welfare_heavy_seed01.yaml,experiments/runs/20260514_151423_030730_toy24_basin_learned_diagnostic_quick_toy4_basin_learned_diagnostic_linear_welfare_heavy_seed01,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
toy24_basin_learned_diagnostic_quick,toy4_basin_learned_diagnostic,toy4,linear_welfare_heavy,baseline,baseline,nabm,2,final_mean_payoff,0.6,maximize,mean_payoff,0.6,0.005,0.6,0.0,True,True,21,experiments/configs/generated/evidence_matrix/toy24_basin_learned_diagnostic_quick/toy4_basin_learned_diagnostic_linear_welfare_heavy_seed02.yaml,experiments/runs/20260514_151432_413229_toy24_basin_learned_diagnostic_quick_toy4_basin_learned_diagnostic_linear_welfare_heavy_seed02,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
toy24_basin_learned_diagnostic_quick,toy4_basin_learned_diagnostic,toy4,linear_welfare_heavy,baseline,baseline,nabm,3,final_mean_payoff,0.594,maximize,mean_payoff,0.6,0.005,0.594,0.006000000000000005,False,True,23,experiments/configs/generated/evidence_matrix/toy24_basin_learned_diagnostic_quick/toy4_basin_learned_diagnostic_linear_welfare_heavy_seed03.yaml,experiments/runs/20260514_151441_808730_toy24_basin_learned_diagnostic_quick_toy4_basin_learned_diagnostic_linear_welfare_heavy_seed03,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
toy24_basin_learned_diagnostic_quick,toy4_basin_learned_diagnostic,toy4,mixed_objective_basin_escalate_credit_p3_min2_h1_learned_readonly,nabm,baseline,nabm,1,final_mean_payoff,0.6,maximize,mean_payoff,0.6,0.005,0.6,0.0,True,True,12,experiments/configs/generated/evidence_matrix/toy24_basin_learned_diagnostic_quick/toy4_basin_learned_diagnostic_mixed_objective_basin_escalate_credit_p3_min2_h1_learned_readonly_seed01.yaml,experiments/runs/20260514_151451_226816_toy24_basin_learned_diagnostic_quick_toy4_basin_learned_diagnostic_mixed_objective_basin_escalate_credit_p3_min2_h1_learned_readonly_seed01,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
