label,case,toy,variant,group,seed,run_dir,final_within_ceiling,time_to_ceiling,diagnostic_status,micro_row_count,finite_pair_count,learned_abstention_rate,learned_non_abstain_rate,prototype_learned_sign_agreement_rate,prototype_learned_sign_conflict_rate,non_abstain_sign_agreement_rate,non_abstain_sign_conflict_rate,prototype_learned_advantage_correlation,prototype_advantage_mean,learned_advantage_mean,prototype_advantage_abs_mean,learned_advantage_abs_mean,advantage_delta_abs_mean,learned_uncertainty_mean,aggregate_training_replay_min_selected_rate_mean,aggregate_training_replay_selected_rate_mean,aggregate_training_learned_credit_rate_mean,final_aggregate_training_replay_selection,final_aggregate_training_replay_min_selected_rate,final_aggregate_training_replay_selected_rate,final_aggregate_training_learned_credit_rate,final_aggregate_abstention_rate,final_aggregate_prototype_correlation
toy24_basin_learned_credit_replay_curriculum_quick,toy2_basin_learned_credit_replay_curriculum,toy2,linear_welfare_heavy,baseline,1,experiments/runs/20260514_172852_713299_toy24_basin_learned_credit_replay_curriculum_quick_toy2_basin_learned_credit_replay_curriculum_linear_welfare_heavy_seed01,True,23.0,no_finite_pairs,5000,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
toy24_basin_learned_credit_replay_curriculum_quick,toy2_basin_learned_credit_replay_curriculum,toy2,linear_welfare_heavy,baseline,2,experiments/runs/20260514_172859_762431_toy24_basin_learned_credit_replay_curriculum_quick_toy2_basin_learned_credit_replay_curriculum_linear_welfare_heavy_seed02,True,26.0,no_finite_pairs,5000,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
toy24_basin_learned_credit_replay_curriculum_quick,toy2_basin_learned_credit_replay_curriculum,toy2,linear_welfare_heavy,baseline,3,experiments/runs/20260514_172905_574213_toy24_basin_learned_credit_replay_curriculum_quick_toy2_basin_learned_credit_replay_curriculum_linear_welfare_heavy_seed03,True,22.0,no_finite_pairs,5000,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
toy24_basin_learned_credit_replay_curriculum_quick,toy2_basin_learned_credit_replay_curriculum,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_prototype,diagnostic,1,experiments/runs/20260514_172911_661270_toy24_basin_learned_credit_replay_curriculum_quick_toy2_basin_learned_credit_replay_curriculum_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed01,True,9.0,no_finite_pairs,5000,,,,,,,,,,,,,,,0.0,1.0,0.0,all,0.0,1.0,0.0,nan,nan
toy24_basin_learned_credit_replay_curriculum_quick,toy2_basin_learned_credit_replay_curriculum,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_prototype,diagnostic,2,experiments/runs/20260514_172925_620137_toy24_basin_learned_credit_replay_curriculum_quick_toy2_basin_learned_credit_replay_curriculum_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed02,True,10.0,no_finite_pairs,5000,,,,,,,,,,,,,,,0.0,1.0,0.0,all,0.0,1.0,0.0,nan,nan
toy24_basin_learned_credit_replay_curriculum_quick,toy2_basin_learned_credit_replay_curriculum,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_prototype,diagnostic,3,experiments/runs/20260514_172939_792908_toy24_basin_learned_credit_replay_curriculum_quick_toy2_basin_learned_credit_replay_curriculum_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed03,True,9.0,no_finite_pairs,5000,,,,,,,,,,,,,,,0.0,1.0,0.0,all,0.0,1.0,0.0,nan,nan
toy24_basin_learned_credit_replay_curriculum_quick,toy2_basin_learned_credit_replay_curriculum,toy2,learned_candidate_context_all_replay,diagnostic,1,experiments/runs/20260514_172953_822925_toy24_basin_learned_credit_replay_curriculum_quick_toy2_basin_learned_credit_replay_curriculum_learned_candidate_context_all_replay_seed01,True,9.0,complete,5000,5000,0.2316,0.7684,0.7758,0.2242,1.0,0.0,-0.43181351561968395,-0.004332863937068557,-0.007322762913256044,0.00467440036725205,0.007386879187086694,0.003239572516733628,0.033570023242746355,0.0,1.0,0.7684000000000001,all,0.0,1.0,1.0,0.0,-0.9999999869165832
toy24_basin_learned_credit_replay_curriculum_quick,toy2_basin_learned_credit_replay_curriculum,toy2,learned_candidate_context_all_replay,diagnostic,2,experiments/runs/20260514_173009_586468_toy24_basin_learned_credit_replay_curriculum_quick_toy2_basin_learned_credit_replay_curriculum_learned_candidate_context_all_replay_seed02,True,10.0,complete,5000,5000,0.183,0.817,0.8206,0.1794,1.0,0.0,-0.0513603434696225,-0.004724489265625288,-0.006454509651729269,0.005159242926170232,0.006514791642942919,0.0020302255943006834,0.03080396967844688,0.0,1.0,0.8170000000000001,all,0.0,1.0,1.0,0.0,-0.9999999716111252
toy24_basin_learned_credit_replay_curriculum_quick,toy2_basin_learned_credit_replay_curriculum,toy2,learned_candidate_context_all_replay,diagnostic,3,experiments/runs/20260514_173025_200003_toy24_basin_learned_credit_replay_curriculum_quick_toy2_basin_learned_credit_replay_curriculum_learned_candidate_context_all_replay_seed03,True,9.0,complete,5000,5000,0.1816,0.8184,0.8218,0.1782,1.0,0.0,-0.10025316370140389,-0.00422201136953424,-0.006365420392772893,0.005021121959649559,0.0063655790965584675,0.002143518643291318,0.0303225754446822,0.0,1.0,0.8184,all,0.0,1.0,1.0,0.0,-0.999999986550516
toy24_basin_learned_credit_replay_curriculum_quick,toy2_basin_learned_credit_replay_curriculum,toy2,learned_candidate_context_confident_agreement_replay,diagnostic,1,experiments/runs/20260514_173040_190287_toy24_basin_learned_credit_replay_curriculum_quick_toy2_basin_learned_credit_replay_curriculum_learned_candidate_context_confident_agreement_replay_seed01,False,nan,no_finite_pairs,5000,,,,,,,,,,,,,,,0.0,0.0,0.4714,confident_agreement,0.0,0.0,0.53,0.47,-0.895505820479907
toy24_basin_learned_credit_replay_curriculum_quick,toy2_basin_learned_credit_replay_curriculum,toy2,learned_candidate_context_confident_agreement_replay,diagnostic,2,experiments/runs/20260514_173047_890124_toy24_basin_learned_credit_replay_curriculum_quick_toy2_basin_learned_credit_replay_curriculum_learned_candidate_context_confident_agreement_replay_seed02,False,nan,no_finite_pairs,5000,,,,,,,,,,,,,,,0.0,0.0,0.4978,confident_agreement,0.0,0.0,0.0,1.0,-0.9220020919344176
toy24_basin_learned_credit_replay_curriculum_quick,toy2_basin_learned_credit_replay_curriculum,toy2,learned_candidate_context_confident_agreement_replay,diagnostic,3,experiments/runs/20260514_173056_803687_toy24_basin_learned_credit_replay_curriculum_quick_toy2_basin_learned_credit_replay_curriculum_learned_candidate_context_confident_agreement_replay_seed03,False,nan,no_finite_pairs,5000,,,,,,,,,,,,,,,0.0,0.0,0.45439999999999997,confident_agreement,0.0,0.0,0.58,0.42,-0.6497692452200189
toy24_basin_learned_credit_replay_curriculum_quick,toy2_basin_learned_credit_replay_curriculum,toy2,learned_candidate_context_confident_agreement_floor50_replay,diagnostic,1,experiments/runs/20260514_173104_828593_toy24_basin_learned_credit_replay_curriculum_quick_toy2_basin_learned_credit_replay_curriculum_learned_candidate_context_confident_agreement_floor50_replay_seed01,True,17.0,complete,5000,2500,0.36,0.64,0.6404,0.3596,1.0,0.0,-0.2779949351391152,-0.003836237785191695,-0.008481851986024557,0.004432769959304052,0.008543607527200578,0.00488548047421009,0.03438148025765991,0.5,0.5,0.6138,confident_agreement,0.5,0.5,1.0,0.0,-0.9999999473201931
