label,case,toy,variant,group,baseline_group,nabm_group,seed,primary_metric,metric_value,direction,config_path,run_dir,nabm_status,neural_role,social_channels,reference_policies
toy24_state_continuation_matrix_quick,toy2_state_continuation_vs_reputation,toy2,reputation_imitation,baseline,baseline,nabm,1,final_mean_payoff,3.0,maximize,experiments/configs/generated/evidence_matrix/toy24_state_continuation_matrix_quick/toy2_state_continuation_vs_reputation_reputation_imitation_seed01.yaml,experiments/runs/20260513_004333_409057_toy24_state_continuation_matrix_quick_toy2_state_continuation_vs_reputation_reputation_imitation_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_state_continuation_matrix_quick,toy2_state_continuation_vs_reputation,toy2,reputation_imitation,baseline,baseline,nabm,2,final_mean_payoff,3.0,maximize,experiments/configs/generated/evidence_matrix/toy24_state_continuation_matrix_quick/toy2_state_continuation_vs_reputation_reputation_imitation_seed02.yaml,experiments/runs/20260513_004333_833474_toy24_state_continuation_matrix_quick_toy2_state_continuation_vs_reputation_reputation_imitation_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_state_continuation_matrix_quick,toy2_state_continuation_vs_reputation,toy2,reputation_imitation,baseline,baseline,nabm,3,final_mean_payoff,3.0,maximize,experiments/configs/generated/evidence_matrix/toy24_state_continuation_matrix_quick/toy2_state_continuation_vs_reputation_reputation_imitation_seed03.yaml,experiments/runs/20260513_004334_239722_toy24_state_continuation_matrix_quick_toy2_state_continuation_vs_reputation_reputation_imitation_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_state_continuation_matrix_quick,toy2_state_continuation_vs_reputation,toy2,neural_material_output_average,nabm,baseline,nabm,1,final_mean_payoff,1.0,maximize,experiments/configs/generated/evidence_matrix/toy24_state_continuation_matrix_quick/toy2_state_continuation_vs_reputation_neural_material_output_average_seed01.yaml,experiments/runs/20260513_004334_658970_toy24_state_continuation_matrix_quick_toy2_state_continuation_vs_reputation_neural_material_output_average_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_state_continuation_matrix_quick,toy2_state_continuation_vs_reputation,toy2,neural_material_output_average,nabm,baseline,nabm,2,final_mean_payoff,1.03,maximize,experiments/configs/generated/evidence_matrix/toy24_state_continuation_matrix_quick/toy2_state_continuation_vs_reputation_neural_material_output_average_seed02.yaml,experiments/runs/20260513_004340_922281_toy24_state_continuation_matrix_quick_toy2_state_continuation_vs_reputation_neural_material_output_average_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_state_continuation_matrix_quick,toy2_state_continuation_vs_reputation,toy2,neural_material_output_average,nabm,baseline,nabm,3,final_mean_payoff,1.15,maximize,experiments/configs/generated/evidence_matrix/toy24_state_continuation_matrix_quick/toy2_state_continuation_vs_reputation_neural_material_output_average_seed03.yaml,experiments/runs/20260513_004346_183537_toy24_state_continuation_matrix_quick_toy2_state_continuation_vs_reputation_neural_material_output_average_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_state_continuation_matrix_quick,toy2_state_continuation_vs_reputation,toy2,neural_continuation_balanced,nabm,baseline,nabm,1,final_mean_payoff,2.99,maximize,experiments/configs/generated/evidence_matrix/toy24_state_continuation_matrix_quick/toy2_state_continuation_vs_reputation_neural_continuation_balanced_seed01.yaml,experiments/runs/20260513_004351_354976_toy24_state_continuation_matrix_quick_toy2_state_continuation_vs_reputation_neural_continuation_balanced_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_state_continuation_matrix_quick,toy2_state_continuation_vs_reputation,toy2,neural_continuation_balanced,nabm,baseline,nabm,2,final_mean_payoff,3.0,maximize,experiments/configs/generated/evidence_matrix/toy24_state_continuation_matrix_quick/toy2_state_continuation_vs_reputation_neural_continuation_balanced_seed02.yaml,experiments/runs/20260513_004356_442254_toy24_state_continuation_matrix_quick_toy2_state_continuation_vs_reputation_neural_continuation_balanced_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_state_continuation_matrix_quick,toy2_state_continuation_vs_reputation,toy2,neural_continuation_balanced,nabm,baseline,nabm,3,final_mean_payoff,3.0,maximize,experiments/configs/generated/evidence_matrix/toy24_state_continuation_matrix_quick/toy2_state_continuation_vs_reputation_neural_continuation_balanced_seed03.yaml,experiments/runs/20260513_004401_624486_toy24_state_continuation_matrix_quick_toy2_state_continuation_vs_reputation_neural_continuation_balanced_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_state_continuation_matrix_quick,toy2_state_continuation_vs_reputation,toy2,neural_continuation_social_heavy,nabm,baseline,nabm,1,final_mean_payoff,2.945,maximize,experiments/configs/generated/evidence_matrix/toy24_state_continuation_matrix_quick/toy2_state_continuation_vs_reputation_neural_continuation_social_heavy_seed01.yaml,experiments/runs/20260513_004406_542159_toy24_state_continuation_matrix_quick_toy2_state_continuation_vs_reputation_neural_continuation_social_heavy_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
