label,regime,game_family,purpose,payoff_T,payoff_R,payoff_P,payoff_S,update_rule,mixer,peer_rule,seed,initial_cooperation_probability,policy_prior_mode,policy_prior_cooperation_probability,local_update_rule,neural_peer_mode,revision_rate,alpha,selection_strength,policy_temperature,payoff_transform,exploration_epsilon,learning_enabled,run_dir,final_cooperation_rate,final_mean_payoff,final_mean_policy_cooperation,final_cooperation_components,final_largest_cooperation_cluster_fraction,final_fragmentation_components
toy2_stag_hunt_well_mixed_peer_gate_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.55,match_p0,0.55,counterfactual_advantage,spatial,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_well_mixed_peer_gate_seed01_05/runs/20260430_162244_896642_toy2_stag_hunt_well_mixed_peer_gate_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_spatial_r0p25_a0p0_seed01,0.06,1.97,0.030868511646986008,4,0.02,100
toy2_stag_hunt_well_mixed_peer_gate_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,2,0.55,match_p0,0.55,counterfactual_advantage,spatial,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_well_mixed_peer_gate_seed01_05/runs/20260430_162248_278574_toy2_stag_hunt_well_mixed_peer_gate_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_spatial_r0p25_a0p0_seed02,0.17,2.055,0.16906937956809998,4,0.12,100
toy2_stag_hunt_well_mixed_peer_gate_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,3,0.55,match_p0,0.55,counterfactual_advantage,spatial,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_well_mixed_peer_gate_seed01_05/runs/20260430_162251_313902_toy2_stag_hunt_well_mixed_peer_gate_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_spatial_r0p25_a0p0_seed03,0.07,1.945,0.06693363934755325,6,0.02,100
toy2_stag_hunt_well_mixed_peer_gate_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,4,0.55,match_p0,0.55,counterfactual_advantage,spatial,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_well_mixed_peer_gate_seed01_05/runs/20260430_162254_335101_toy2_stag_hunt_well_mixed_peer_gate_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_spatial_r0p25_a0p0_seed04,0.15,1.955,0.08449531346559525,8,0.06,100
toy2_stag_hunt_well_mixed_peer_gate_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,5,0.55,match_p0,0.55,counterfactual_advantage,spatial,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_well_mixed_peer_gate_seed01_05/runs/20260430_162257_435191_toy2_stag_hunt_well_mixed_peer_gate_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_spatial_r0p25_a0p0_seed05,0.03,1.97,0.03781557083129883,3,0.01,100
toy2_stag_hunt_well_mixed_peer_gate_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_well_mixed_peer_gate_seed01_05/runs/20260430_162300_537506_toy2_stag_hunt_well_mixed_peer_gate_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_well_mixed_r0p25_a0p0_seed01,0.03,1.97,0.007330488413572311,3,0.01,100
toy2_stag_hunt_well_mixed_peer_gate_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,2,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_well_mixed_peer_gate_seed01_05/runs/20260430_162303_796253_toy2_stag_hunt_well_mixed_peer_gate_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_well_mixed_r0p25_a0p0_seed02,0.01,1.99,0.015772564336657524,1,0.01,100
toy2_stag_hunt_well_mixed_peer_gate_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,3,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_well_mixed_peer_gate_seed01_05/runs/20260430_162307_000835_toy2_stag_hunt_well_mixed_peer_gate_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_well_mixed_r0p25_a0p0_seed03,0.0,2.0,0.008048899471759796,0,0.0,100
toy2_stag_hunt_well_mixed_peer_gate_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,4,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_well_mixed_peer_gate_seed01_05/runs/20260430_162310_233893_toy2_stag_hunt_well_mixed_peer_gate_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_well_mixed_r0p25_a0p0_seed04,0.02,1.98,0.011957895942032337,2,0.01,100
toy2_stag_hunt_well_mixed_peer_gate_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,5,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_well_mixed_peer_gate_seed01_05/runs/20260430_162313_405330_toy2_stag_hunt_well_mixed_peer_gate_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_well_mixed_r0p25_a0p0_seed05,0.0,2.0,0.004626214504241943,0,0.0,100
