label,regime,game_family,purpose,payoff_T,payoff_R,payoff_P,payoff_S,update_rule,mixer,peer_rule,seed,initial_cooperation_probability,policy_prior_mode,policy_prior_cooperation_probability,revision_rate,alpha,selection_strength,policy_temperature,payoff_transform,exploration_epsilon,learning_enabled,run_dir,final_cooperation_rate,final_mean_payoff,final_mean_policy_cooperation,final_cooperation_components,final_largest_cooperation_cluster_fraction,final_fragmentation_components,gate_label,condition
toy2_stag_hunt_prior_basin_neural_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.1,default,,0.1,0.0,1.0,1.0,linear,0.0,False,/tmp/toy2_stag_hunt_prior_basin_gate_seed01_03/runs/20260430_150945_042027_toy2_stag_hunt_prior_basin_neural_seed01_03_stag_hunt_neural_policy_none_p0p1_prior_default_r0p1_a0p0_seed01,0.49,2.26,0.4991734623908996,7,0.36,100,toy2_stag_hunt_prior_basin_gate_seed01_03,neural_default_no_learn
toy2_stag_hunt_prior_basin_neural_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,2,0.1,default,,0.1,0.0,1.0,1.0,linear,0.0,False,/tmp/toy2_stag_hunt_prior_basin_gate_seed01_03/runs/20260430_150945_848418_toy2_stag_hunt_prior_basin_neural_seed01_03_stag_hunt_neural_policy_none_p0p1_prior_default_r0p1_a0p0_seed02,0.56,2.46,0.5151315331459045,1,0.56,100,toy2_stag_hunt_prior_basin_gate_seed01_03,neural_default_no_learn
toy2_stag_hunt_prior_basin_neural_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,3,0.1,default,,0.1,0.0,1.0,1.0,linear,0.0,False,/tmp/toy2_stag_hunt_prior_basin_gate_seed01_03/runs/20260430_150946_531022_toy2_stag_hunt_prior_basin_neural_seed01_03_stag_hunt_neural_policy_none_p0p1_prior_default_r0p1_a0p0_seed03,0.58,2.44,0.4911233484745025,2,0.57,100,toy2_stag_hunt_prior_basin_gate_seed01_03,neural_default_no_learn
toy2_stag_hunt_prior_basin_neural_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.1,match_p0,0.1,0.1,0.0,1.0,1.0,linear,0.0,False,/tmp/toy2_stag_hunt_prior_basin_gate_seed01_03/runs/20260430_150947_213215_toy2_stag_hunt_prior_basin_neural_seed01_03_stag_hunt_neural_policy_none_p0p1_prior_match_p0_r0p1_a0p0_seed01,0.19,1.9,0.1000000014901161,13,0.03,100,toy2_stag_hunt_prior_basin_gate_seed01_03,neural_match_p0_no_learn
toy2_stag_hunt_prior_basin_neural_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,2,0.1,match_p0,0.1,0.1,0.0,1.0,1.0,linear,0.0,False,/tmp/toy2_stag_hunt_prior_basin_gate_seed01_03/runs/20260430_150947_905446_toy2_stag_hunt_prior_basin_neural_seed01_03_stag_hunt_neural_policy_none_p0p1_prior_match_p0_r0p1_a0p0_seed02,0.13,1.87,0.1000000014901161,13,0.01,100,toy2_stag_hunt_prior_basin_gate_seed01_03,neural_match_p0_no_learn
toy2_stag_hunt_prior_basin_neural_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,3,0.1,match_p0,0.1,0.1,0.0,1.0,1.0,linear,0.0,False,/tmp/toy2_stag_hunt_prior_basin_gate_seed01_03/runs/20260430_150948_602093_toy2_stag_hunt_prior_basin_neural_seed01_03_stag_hunt_neural_policy_none_p0p1_prior_match_p0_r0p1_a0p0_seed03,0.14,1.905,0.1000000014901161,11,0.02,100,toy2_stag_hunt_prior_basin_gate_seed01_03,neural_match_p0_no_learn
toy2_stag_hunt_prior_basin_neural_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.1,default,,0.1,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_prior_basin_gate_seed01_03/runs/20260430_150949_281547_toy2_stag_hunt_prior_basin_neural_seed01_03_stag_hunt_neural_policy_none_p0p1_prior_default_r0p1_a0p0_seed01,0.49,2.275,0.4380793273448944,6,0.36,100,toy2_stag_hunt_prior_basin_gate_seed01_03,neural_default_learn
toy2_stag_hunt_prior_basin_neural_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,2,0.1,default,,0.1,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_prior_basin_gate_seed01_03/runs/20260430_150950_392407_toy2_stag_hunt_prior_basin_neural_seed01_03_stag_hunt_neural_policy_none_p0p1_prior_default_r0p1_a0p0_seed02,0.54,2.405,0.4578674435615539,2,0.5,100,toy2_stag_hunt_prior_basin_gate_seed01_03,neural_default_learn
toy2_stag_hunt_prior_basin_neural_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,3,0.1,default,,0.1,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_prior_basin_gate_seed01_03/runs/20260430_150951_319656_toy2_stag_hunt_prior_basin_neural_seed01_03_stag_hunt_neural_policy_none_p0p1_prior_default_r0p1_a0p0_seed03,0.53,2.34,0.4213942289352417,1,0.53,100,toy2_stag_hunt_prior_basin_gate_seed01_03,neural_default_learn
toy2_stag_hunt_prior_basin_neural_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.1,match_p0,0.1,0.1,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_prior_basin_gate_seed01_03/runs/20260430_150952_287241_toy2_stag_hunt_prior_basin_neural_seed01_03_stag_hunt_neural_policy_none_p0p1_prior_match_p0_r0p1_a0p0_seed01,0.18,1.91,0.0773907825350761,12,0.03,100,toy2_stag_hunt_prior_basin_gate_seed01_03,neural_match_p0_learn
