label,case,toy,variant,group,baseline_group,nabm_group,seed,primary_metric,metric_value,direction,ceiling_metric,ceiling_value,ceiling_tolerance,ceiling_metric_value,ceiling_gap,final_within_ceiling,ever_reached_ceiling,time_to_ceiling,config_path,run_dir,nabm_status,neural_role,social_channels,reference_policies
toy24_basin_learned_credit_replay_curriculum_quick,toy2_basin_learned_credit_replay_curriculum,toy2,linear_welfare_heavy,baseline,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,23,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_replay_curriculum_quick/toy2_basin_learned_credit_replay_curriculum_linear_welfare_heavy_seed01.yaml,experiments/runs/20260514_172852_713299_toy24_basin_learned_credit_replay_curriculum_quick_toy2_basin_learned_credit_replay_curriculum_linear_welfare_heavy_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_replay_curriculum_quick,toy2_basin_learned_credit_replay_curriculum,toy2,linear_welfare_heavy,baseline,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,26,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_replay_curriculum_quick/toy2_basin_learned_credit_replay_curriculum_linear_welfare_heavy_seed02.yaml,experiments/runs/20260514_172859_762431_toy24_basin_learned_credit_replay_curriculum_quick_toy2_basin_learned_credit_replay_curriculum_linear_welfare_heavy_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_replay_curriculum_quick,toy2_basin_learned_credit_replay_curriculum,toy2,linear_welfare_heavy,baseline,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,22,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_replay_curriculum_quick/toy2_basin_learned_credit_replay_curriculum_linear_welfare_heavy_seed03.yaml,experiments/runs/20260514_172905_574213_toy24_basin_learned_credit_replay_curriculum_quick_toy2_basin_learned_credit_replay_curriculum_linear_welfare_heavy_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_replay_curriculum_quick,toy2_basin_learned_credit_replay_curriculum,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_prototype,diagnostic,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,9,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_replay_curriculum_quick/toy2_basin_learned_credit_replay_curriculum_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed01.yaml,experiments/runs/20260514_172911_661270_toy24_basin_learned_credit_replay_curriculum_quick_toy2_basin_learned_credit_replay_curriculum_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_replay_curriculum_quick,toy2_basin_learned_credit_replay_curriculum,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_prototype,diagnostic,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,10,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_replay_curriculum_quick/toy2_basin_learned_credit_replay_curriculum_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed02.yaml,experiments/runs/20260514_172925_620137_toy24_basin_learned_credit_replay_curriculum_quick_toy2_basin_learned_credit_replay_curriculum_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_replay_curriculum_quick,toy2_basin_learned_credit_replay_curriculum,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_prototype,diagnostic,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,9,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_replay_curriculum_quick/toy2_basin_learned_credit_replay_curriculum_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed03.yaml,experiments/runs/20260514_172939_792908_toy24_basin_learned_credit_replay_curriculum_quick_toy2_basin_learned_credit_replay_curriculum_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_replay_curriculum_quick,toy2_basin_learned_credit_replay_curriculum,toy2,learned_candidate_context_all_replay,diagnostic,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,9,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_replay_curriculum_quick/toy2_basin_learned_credit_replay_curriculum_learned_candidate_context_all_replay_seed01.yaml,experiments/runs/20260514_172953_822925_toy24_basin_learned_credit_replay_curriculum_quick_toy2_basin_learned_credit_replay_curriculum_learned_candidate_context_all_replay_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_replay_curriculum_quick,toy2_basin_learned_credit_replay_curriculum,toy2,learned_candidate_context_all_replay,diagnostic,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,10,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_replay_curriculum_quick/toy2_basin_learned_credit_replay_curriculum_learned_candidate_context_all_replay_seed02.yaml,experiments/runs/20260514_173009_586468_toy24_basin_learned_credit_replay_curriculum_quick_toy2_basin_learned_credit_replay_curriculum_learned_candidate_context_all_replay_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_replay_curriculum_quick,toy2_basin_learned_credit_replay_curriculum,toy2,learned_candidate_context_all_replay,diagnostic,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,9,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_replay_curriculum_quick/toy2_basin_learned_credit_replay_curriculum_learned_candidate_context_all_replay_seed03.yaml,experiments/runs/20260514_173025_200003_toy24_basin_learned_credit_replay_curriculum_quick_toy2_basin_learned_credit_replay_curriculum_learned_candidate_context_all_replay_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_replay_curriculum_quick,toy2_basin_learned_credit_replay_curriculum,toy2,learned_candidate_context_confident_agreement_replay,diagnostic,baseline,nabm,1,final_mean_payoff,2.325,maximize,mean_payoff,3.0,0.001,2.325,0.6749999999999998,False,False,,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_replay_curriculum_quick/toy2_basin_learned_credit_replay_curriculum_learned_candidate_context_confident_agreement_replay_seed01.yaml,experiments/runs/20260514_173040_190287_toy24_basin_learned_credit_replay_curriculum_quick_toy2_basin_learned_credit_replay_curriculum_learned_candidate_context_confident_agreement_replay_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
