label,case,toy,variant,group,seed,run_dir,final_within_ceiling,time_to_ceiling,diagnostic_status,micro_row_count,finite_pair_count,learned_abstention_rate,learned_non_abstain_rate,prototype_learned_sign_agreement_rate,prototype_learned_sign_conflict_rate,non_abstain_sign_agreement_rate,non_abstain_sign_conflict_rate,prototype_learned_advantage_correlation,prototype_advantage_mean,learned_advantage_mean,prototype_advantage_abs_mean,learned_advantage_abs_mean,advantage_delta_abs_mean,learned_uncertainty_mean,final_aggregate_abstention_rate,final_aggregate_prototype_correlation
toy24_basin_learned_diagnostic_quick,toy2_basin_learned_diagnostic,toy2,linear_welfare_heavy,baseline,1,experiments/runs/20260514_151321_092275_toy24_basin_learned_diagnostic_quick_toy2_basin_learned_diagnostic_linear_welfare_heavy_seed01,True,23,no_finite_pairs,5000,,,,,,,,,,,,,,,,
toy24_basin_learned_diagnostic_quick,toy2_basin_learned_diagnostic,toy2,linear_welfare_heavy,baseline,2,experiments/runs/20260514_151329_122372_toy24_basin_learned_diagnostic_quick_toy2_basin_learned_diagnostic_linear_welfare_heavy_seed02,True,26,no_finite_pairs,5000,,,,,,,,,,,,,,,,
toy24_basin_learned_diagnostic_quick,toy2_basin_learned_diagnostic,toy2,linear_welfare_heavy,baseline,3,experiments/runs/20260514_151335_652519_toy24_basin_learned_diagnostic_quick_toy2_basin_learned_diagnostic_linear_welfare_heavy_seed03,True,22,no_finite_pairs,5000,,,,,,,,,,,,,,,,
toy24_basin_learned_diagnostic_quick,toy2_basin_learned_diagnostic,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_learned_readonly,nabm,1,experiments/runs/20260514_151341_799567_toy24_basin_learned_diagnostic_quick_toy2_basin_learned_diagnostic_mixed_objective_basin_escalate_credit_p3_min2_h1_learned_readonly_seed01,True,9,complete,5000,5000,0.2202,0.7798,0.9698,0.0302,0.9946140035906643,0.005385996409335727,-0.10018138745005627,0.0005241667967035008,0.017635203514772445,0.0007121374298993807,0.017635203514772445,0.017111704508713813,0.028701395325210002,0.0,-0.9999999892663552
toy24_basin_learned_diagnostic_quick,toy2_basin_learned_diagnostic,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_learned_readonly,nabm,2,experiments/runs/20260514_151355_459784_toy24_basin_learned_diagnostic_quick_toy2_basin_learned_diagnostic_mixed_objective_basin_escalate_credit_p3_min2_h1_learned_readonly_seed02,True,10,complete,5000,5000,0.149,0.851,0.9684,0.0316,0.9891891891891892,0.010810810810810811,-0.04731784788193488,0.0004927359459715803,0.016638582684465855,0.0007346679075518501,0.016638582684465855,0.016155340114740558,0.026506287406571842,0.0,-0.9999999768247192
toy24_basin_learned_diagnostic_quick,toy2_basin_learned_diagnostic,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_learned_readonly,nabm,3,experiments/runs/20260514_151409_373617_toy24_basin_learned_diagnostic_quick_toy2_basin_learned_diagnostic_mixed_objective_basin_escalate_credit_p3_min2_h1_learned_readonly_seed03,True,9,complete,5000,5000,0.1732,0.8268,0.9908,0.0092,0.9937106918238994,0.006289308176100629,-0.5256362622083416,0.0007454039075849523,0.01651700232957763,0.0007469843118619499,0.01651700232957763,0.015958959289438787,0.02602571212765292,0.0,-0.9999999889873896
toy24_basin_learned_diagnostic_quick,toy4_basin_learned_diagnostic,toy4,linear_welfare_heavy,baseline,1,experiments/runs/20260514_151423_030730_toy24_basin_learned_diagnostic_quick_toy4_basin_learned_diagnostic_linear_welfare_heavy_seed01,False,19,no_finite_pairs,5000,,,,,,,,,,,,,,,,
toy24_basin_learned_diagnostic_quick,toy4_basin_learned_diagnostic,toy4,linear_welfare_heavy,baseline,2,experiments/runs/20260514_151432_413229_toy24_basin_learned_diagnostic_quick_toy4_basin_learned_diagnostic_linear_welfare_heavy_seed02,True,21,no_finite_pairs,5000,,,,,,,,,,,,,,,,
toy24_basin_learned_diagnostic_quick,toy4_basin_learned_diagnostic,toy4,linear_welfare_heavy,baseline,3,experiments/runs/20260514_151441_808730_toy24_basin_learned_diagnostic_quick_toy4_basin_learned_diagnostic_linear_welfare_heavy_seed03,False,23,no_finite_pairs,5000,,,,,,,,,,,,,,,,
toy24_basin_learned_diagnostic_quick,toy4_basin_learned_diagnostic,toy4,mixed_objective_basin_escalate_credit_p3_min2_h1_learned_readonly,nabm,1,experiments/runs/20260514_151451_226816_toy24_basin_learned_diagnostic_quick_toy4_basin_learned_diagnostic_mixed_objective_basin_escalate_credit_p3_min2_h1_learned_readonly_seed01,True,12,complete,5000,5000,0.1986,0.8014,0.9972,0.0028,0.999500873471425,0.0004991265285749938,-0.38147463660650244,0.001092853865864986,0.007836509204796267,0.0010931622151328915,0.007836509204796267,0.007334609490941962,0.01755499360085866,0.0,-0.999999858806506
