label,manifest_path,runs_path,profile_json_path,profile_markdown_path,profile_cases_path,status,passed,case,toy,case_status,best_main_variant,best_baseline_variant,final_ceiling_hits,expected_seed_count,mean_time_to_ceiling,metric_mean,terminal_ceiling_rate_mean,issue_codes,notes,profile_notes,skipped_reason
toy24_basin_credit_objective_blend_quick,experiments/evidence/toy24_basin_credit_objective_blend_quick.yaml,experiments/results/nabm_effect_matrix/toy24_basin_credit_objective_blend_quick_runs.csv,experiments/results/nabm_effect_matrix/toy24_basin_credit_objective_blend_quick_profile.json,experiments/results/nabm_effect_matrix/toy24_basin_credit_objective_blend_quick_profile.md,experiments/results/nabm_effect_matrix/toy24_basin_credit_objective_blend_quick_profile_cases.csv,fail,False,toy2_basin_credit,toy2,fail,mixed_objective_basin_confidence_precommitment_social_w0p5_0p5_h1,reputation_imitation,3,3,12.0,3.0,,"gate_case_fail,toy24_ttc_gate_lag","toy24_basin_credit_evidence,toy24_objective_basin_blend,toy24_material_basin_collapse_diagnostic,toy24_main_candidate_ceiling_miss,toy24_trajectory_success_slow_ttc,toy24_triage_baseline_favored_environment","profile_has_case_issues,toy24_objective_basin_evidence,toy24_material_basin_collapse_contrast,toy24_final_epoch_hazard_evidence,toy24_triage_success_evidence,toy24_baseline_favored_environment_evidence,toy24_slow_ttc_gate_lag_evidence",
toy24_basin_credit_objective_blend_quick,experiments/evidence/toy24_basin_credit_objective_blend_quick.yaml,experiments/results/nabm_effect_matrix/toy24_basin_credit_objective_blend_quick_runs.csv,experiments/results/nabm_effect_matrix/toy24_basin_credit_objective_blend_quick_profile.json,experiments/results/nabm_effect_matrix/toy24_basin_credit_objective_blend_quick_profile.md,experiments/results/nabm_effect_matrix/toy24_basin_credit_objective_blend_quick_profile_cases.csv,fail,False,toy4_basin_credit,toy4,pass,mixed_objective_basin_confidence_precommitment_social_feedback_w0p5_0p5_h1,reputation_imitation,3,3,11.0,0.6,,toy24_final_epoch_hazard,"toy24_basin_credit_evidence,toy24_objective_basin_blend,toy24_material_basin_collapse_diagnostic,toy24_final_vs_ever_gap,toy24_main_candidate_ceiling_miss,toy24_triage_success,toy24_triage_baseline_favored_environment","profile_has_case_issues,toy24_objective_basin_evidence,toy24_material_basin_collapse_contrast,toy24_final_epoch_hazard_evidence,toy24_triage_success_evidence,toy24_baseline_favored_environment_evidence,toy24_slow_ttc_gate_lag_evidence",
toy24_precommitment_peer_evidence_open_boundary_sparse_seed_stress_quick,experiments/evidence/toy24_precommitment_peer_evidence_open_boundary_sparse_seed_stress_quick.yaml,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_open_boundary_sparse_seed_stress_quick_runs.csv,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_open_boundary_sparse_seed_stress_quick_profile.json,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_open_boundary_sparse_seed_stress_quick_profile.md,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_open_boundary_sparse_seed_stress_quick_profile_cases.csv,pass,True,toy2_precommitment_peer_evidence_open_boundary_sparse_seed_stress,toy2,pass,revision_precommitment_peer_evidence_open_sparse_p0p1,reputation_imitation_open_sparse_p0p1,5,5,9.4,3.0,1.0,,"toy24_basin_credit_evidence,toy24_objective_basin_blend,toy24_revision_operator_path,toy24_triage_success","toy24_objective_basin_evidence,toy24_revision_operator_evidence,toy24_triage_success_evidence",
toy24_precommitment_peer_evidence_open_boundary_sparse_seed_stress_quick,experiments/evidence/toy24_precommitment_peer_evidence_open_boundary_sparse_seed_stress_quick.yaml,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_open_boundary_sparse_seed_stress_quick_runs.csv,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_open_boundary_sparse_seed_stress_quick_profile.json,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_open_boundary_sparse_seed_stress_quick_profile.md,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_open_boundary_sparse_seed_stress_quick_profile_cases.csv,pass,True,toy4_precommitment_peer_evidence_open_boundary_sparse_seed_stress,toy4,pass,revision_precommitment_peer_evidence_open_sparse_p0p1,reputation_imitation_open_sparse_p0p1,5,5,9.0,0.6,1.0,,"toy24_basin_credit_evidence,toy24_objective_basin_blend,toy24_revision_operator_path,toy24_late_flip_hazard,toy24_triage_success","toy24_objective_basin_evidence,toy24_revision_operator_evidence,toy24_triage_success_evidence",
toy24_precommitment_peer_evidence_reputation_fragility_stress_quick,experiments/evidence/toy24_precommitment_peer_evidence_reputation_fragility_stress_quick.yaml,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_reputation_fragility_stress_quick_runs.csv,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_reputation_fragility_stress_quick_profile.json,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_reputation_fragility_stress_quick_profile.md,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_reputation_fragility_stress_quick_profile_cases.csv,pass,True,toy2_precommitment_peer_evidence_reputation_fragility_stress,toy2,pass,revision_precommitment_peer_evidence_open_sparse_noisy_p0p1_s1p0,reputation_imitation_open_sparse_noisy_p0p1_s1p0,5,5,9.4,3.0,1.0,,"toy24_basin_credit_evidence,toy24_objective_basin_blend,toy24_revision_operator_path,toy24_triage_success","toy24_objective_basin_evidence,toy24_revision_operator_evidence,toy24_triage_success_evidence",
toy24_precommitment_peer_evidence_reputation_fragility_stress_quick,experiments/evidence/toy24_precommitment_peer_evidence_reputation_fragility_stress_quick.yaml,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_reputation_fragility_stress_quick_runs.csv,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_reputation_fragility_stress_quick_profile.json,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_reputation_fragility_stress_quick_profile.md,experiments/results/nabm_effect_matrix/toy24_precommitment_peer_evidence_reputation_fragility_stress_quick_profile_cases.csv,pass,True,toy4_precommitment_peer_evidence_reputation_fragility_stress,toy4,pass,revision_precommitment_peer_evidence_open_sparse_noisy_p0p1_s1p0,reputation_imitation_open_sparse_noisy_p0p1_s1p0,5,5,9.0,0.6,1.0,,"toy24_basin_credit_evidence,toy24_objective_basin_blend,toy24_revision_operator_path,toy24_late_flip_hazard,toy24_triage_success","toy24_objective_basin_evidence,toy24_revision_operator_evidence,toy24_triage_success_evidence",
toy24_revision_operator_precommitment_controls_quick,experiments/evidence/toy24_revision_operator_precommitment_controls_quick.yaml,experiments/results/nabm_effect_matrix/toy24_revision_operator_precommitment_controls_quick_runs.csv,experiments/results/nabm_effect_matrix/toy24_revision_operator_precommitment_controls_quick_profile.json,experiments/results/nabm_effect_matrix/toy24_revision_operator_precommitment_controls_quick_profile.md,experiments/results/nabm_effect_matrix/toy24_revision_operator_precommitment_controls_quick_profile_cases.csv,pass,True,toy2_revision_operator_precommitment_controls,toy2,pass,revision_operator_precommitment_peer_evidence_w1p0,reputation_imitation,3,3,9.666666666666666,3.0,1.0,,"toy24_basin_credit_evidence,toy24_objective_basin_blend,toy24_revision_operator_path,toy24_late_flip_hazard,toy24_triage_success,toy24_triage_baseline_favored_environment","toy24_objective_basin_evidence,toy24_revision_operator_evidence,toy24_triage_success_evidence,toy24_baseline_favored_environment_evidence",
toy24_revision_operator_precommitment_controls_quick,experiments/evidence/toy24_revision_operator_precommitment_controls_quick.yaml,experiments/results/nabm_effect_matrix/toy24_revision_operator_precommitment_controls_quick_runs.csv,experiments/results/nabm_effect_matrix/toy24_revision_operator_precommitment_controls_quick_profile.json,experiments/results/nabm_effect_matrix/toy24_revision_operator_precommitment_controls_quick_profile.md,experiments/results/nabm_effect_matrix/toy24_revision_operator_precommitment_controls_quick_profile_cases.csv,pass,True,toy4_revision_operator_precommitment_controls,toy4,pass,revision_operator_precommitment_peer_evidence_w1p0,reputation_imitation,3,3,9.333333333333334,0.6,1.0,,"toy24_basin_credit_evidence,toy24_objective_basin_blend,toy24_revision_operator_path,toy24_late_flip_hazard,toy24_triage_success,toy24_triage_baseline_favored_environment","toy24_objective_basin_evidence,toy24_revision_operator_evidence,toy24_triage_success_evidence,toy24_baseline_favored_environment_evidence",
toy24_revision_operator_quick,experiments/evidence/toy24_revision_operator_quick.yaml,experiments/results/nabm_effect_matrix/toy24_revision_operator_quick_runs.csv,experiments/results/nabm_effect_matrix/toy24_revision_operator_quick_profile.json,experiments/results/nabm_effect_matrix/toy24_revision_operator_quick_profile.md,experiments/results/nabm_effect_matrix/toy24_revision_operator_quick_profile_cases.csv,fail,False,toy2_revision_operator,toy2,fail,revision_operator_mixed_objective_basin_w0p5_0p5_h1,reputation_imitation,2,3,19.333333333333332,2.9966666666666666,0.8666666666666667,"gate_case_fail,toy24_final_epoch_hazard,toy24_best_main_ceiling_miss,toy24_stochastic_gate_brittleness","toy24_basin_credit_evidence,toy24_objective_basin_blend,toy24_revision_operator_path,toy24_final_vs_ever_gap,toy24_late_flip_hazard,toy24_main_candidate_ceiling_miss,toy24_triage_stochastic_gate_brittleness,toy24_triage_baseline_favored_environment","profile_has_case_issues,toy24_objective_basin_evidence,toy24_revision_operator_evidence,toy24_final_epoch_hazard_evidence,toy24_stochastic_gate_brittleness_evidence,toy24_baseline_favored_environment_evidence",
toy24_revision_operator_quick,experiments/evidence/toy24_revision_operator_quick.yaml,experiments/results/nabm_effect_matrix/toy24_revision_operator_quick_runs.csv,experiments/results/nabm_effect_matrix/toy24_revision_operator_quick_profile.json,experiments/results/nabm_effect_matrix/toy24_revision_operator_quick_profile.md,experiments/results/nabm_effect_matrix/toy24_revision_operator_quick_profile_cases.csv,fail,False,toy4_revision_operator,toy4,fail,revision_operator_mixed_objective_basin_w0p5_0p5_h1,reputation_imitation,1,3,19.0,0.596,0.7999999999999999,"gate_case_fail,toy24_final_epoch_hazard,toy24_best_main_ceiling_miss,toy24_stochastic_gate_brittleness","toy24_basin_credit_evidence,toy24_objective_basin_blend,toy24_revision_operator_path,toy24_final_vs_ever_gap,toy24_late_flip_hazard,toy24_main_candidate_ceiling_miss,toy24_triage_stochastic_gate_brittleness,toy24_triage_baseline_favored_environment","profile_has_case_issues,toy24_objective_basin_evidence,toy24_revision_operator_evidence,toy24_final_epoch_hazard_evidence,toy24_stochastic_gate_brittleness_evidence,toy24_baseline_favored_environment_evidence",
