label,case,toy,variant,group,baseline_group,nabm_group,seed,primary_metric,metric_value,direction,ceiling_metric,ceiling_value,ceiling_tolerance,ceiling_metric_value,ceiling_gap,final_within_ceiling,ever_reached_ceiling,time_to_ceiling,config_path,run_dir,nabm_status,neural_role,social_channels,reference_policies
toy24_gated_distill_bootstrap_quick,toy2_gated_distill_bootstrap,toy2,reputation_imitation,baseline,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,3,experiments/configs/generated/evidence_matrix/toy24_gated_distill_bootstrap_quick/toy2_gated_distill_bootstrap_reputation_imitation_seed01.yaml,experiments/runs/20260513_153459_352539_toy24_gated_distill_bootstrap_quick_toy2_gated_distill_bootstrap_reputation_imitation_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_gated_distill_bootstrap_quick,toy2_gated_distill_bootstrap,toy2,reputation_imitation,baseline,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,3,experiments/configs/generated/evidence_matrix/toy24_gated_distill_bootstrap_quick/toy2_gated_distill_bootstrap_reputation_imitation_seed02.yaml,experiments/runs/20260513_153459_828354_toy24_gated_distill_bootstrap_quick_toy2_gated_distill_bootstrap_reputation_imitation_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_gated_distill_bootstrap_quick,toy2_gated_distill_bootstrap,toy2,reputation_imitation,baseline,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,2,experiments/configs/generated/evidence_matrix/toy24_gated_distill_bootstrap_quick/toy2_gated_distill_bootstrap_reputation_imitation_seed03.yaml,experiments/runs/20260513_153500_288948_toy24_gated_distill_bootstrap_quick_toy2_gated_distill_bootstrap_reputation_imitation_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_gated_distill_bootstrap_quick,toy2_gated_distill_bootstrap,toy2,linear_welfare_heavy,nabm,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,23,experiments/configs/generated/evidence_matrix/toy24_gated_distill_bootstrap_quick/toy2_gated_distill_bootstrap_linear_welfare_heavy_seed01.yaml,experiments/runs/20260513_153500_746601_toy24_gated_distill_bootstrap_quick_toy2_gated_distill_bootstrap_linear_welfare_heavy_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_gated_distill_bootstrap_quick,toy2_gated_distill_bootstrap,toy2,linear_welfare_heavy,nabm,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,26,experiments/configs/generated/evidence_matrix/toy24_gated_distill_bootstrap_quick/toy2_gated_distill_bootstrap_linear_welfare_heavy_seed02.yaml,experiments/runs/20260513_153507_155976_toy24_gated_distill_bootstrap_quick_toy2_gated_distill_bootstrap_linear_welfare_heavy_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_gated_distill_bootstrap_quick,toy2_gated_distill_bootstrap,toy2,linear_welfare_heavy,nabm,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,22,experiments/configs/generated/evidence_matrix/toy24_gated_distill_bootstrap_quick/toy2_gated_distill_bootstrap_linear_welfare_heavy_seed03.yaml,experiments/runs/20260513_153512_683481_toy24_gated_distill_bootstrap_quick_toy2_gated_distill_bootstrap_linear_welfare_heavy_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_gated_distill_bootstrap_quick,toy2_gated_distill_bootstrap,toy2,distill_bootstrap_w1p0_e5_linear_welfare,nabm,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,32,experiments/configs/generated/evidence_matrix/toy24_gated_distill_bootstrap_quick/toy2_gated_distill_bootstrap_distill_bootstrap_w1p0_e5_linear_welfare_seed01.yaml,experiments/runs/20260513_153518_203666_toy24_gated_distill_bootstrap_quick_toy2_gated_distill_bootstrap_distill_bootstrap_w1p0_e5_linear_welfare_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_gated_distill_bootstrap_quick,toy2_gated_distill_bootstrap,toy2,distill_bootstrap_w1p0_e5_linear_welfare,nabm,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,26,experiments/configs/generated/evidence_matrix/toy24_gated_distill_bootstrap_quick/toy2_gated_distill_bootstrap_distill_bootstrap_w1p0_e5_linear_welfare_seed02.yaml,experiments/runs/20260513_153524_124416_toy24_gated_distill_bootstrap_quick_toy2_gated_distill_bootstrap_distill_bootstrap_w1p0_e5_linear_welfare_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_gated_distill_bootstrap_quick,toy2_gated_distill_bootstrap,toy2,distill_bootstrap_w1p0_e5_linear_welfare,nabm,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,22,experiments/configs/generated/evidence_matrix/toy24_gated_distill_bootstrap_quick/toy2_gated_distill_bootstrap_distill_bootstrap_w1p0_e5_linear_welfare_seed03.yaml,experiments/runs/20260513_153529_937150_toy24_gated_distill_bootstrap_quick_toy2_gated_distill_bootstrap_distill_bootstrap_w1p0_e5_linear_welfare_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_gated_distill_bootstrap_quick,toy2_gated_distill_bootstrap,toy2,stable_distill_bootstrap_w1p0_e5_linear_welfare,nabm,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,32,experiments/configs/generated/evidence_matrix/toy24_gated_distill_bootstrap_quick/toy2_gated_distill_bootstrap_stable_distill_bootstrap_w1p0_e5_linear_welfare_seed01.yaml,experiments/runs/20260513_153536_047244_toy24_gated_distill_bootstrap_quick_toy2_gated_distill_bootstrap_stable_distill_bootstrap_w1p0_e5_linear_welfare_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
