label,case,toy,variant,group,baseline_group,nabm_group,seed,primary_metric,metric_value,direction,ceiling_metric,ceiling_value,ceiling_tolerance,ceiling_metric_value,ceiling_gap,final_within_ceiling,ever_reached_ceiling,time_to_ceiling,config_path,run_dir,nabm_status,neural_role,social_channels,reference_policies
toy24_basin_learned_credit_replay_selection_quick,toy2_basin_learned_credit_replay_selection,toy2,linear_welfare_heavy,baseline,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,23,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_replay_selection_quick/toy2_basin_learned_credit_replay_selection_linear_welfare_heavy_seed01.yaml,experiments/runs/20260514_162245_026363_toy24_basin_learned_credit_replay_selection_quick_toy2_basin_learned_credit_replay_selection_linear_welfare_heavy_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_replay_selection_quick,toy2_basin_learned_credit_replay_selection,toy2,linear_welfare_heavy,baseline,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,26,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_replay_selection_quick/toy2_basin_learned_credit_replay_selection_linear_welfare_heavy_seed02.yaml,experiments/runs/20260514_162252_771641_toy24_basin_learned_credit_replay_selection_quick_toy2_basin_learned_credit_replay_selection_linear_welfare_heavy_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_replay_selection_quick,toy2_basin_learned_credit_replay_selection,toy2,linear_welfare_heavy,baseline,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,22,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_replay_selection_quick/toy2_basin_learned_credit_replay_selection_linear_welfare_heavy_seed03.yaml,experiments/runs/20260514_162259_155069_toy24_basin_learned_credit_replay_selection_quick_toy2_basin_learned_credit_replay_selection_linear_welfare_heavy_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_replay_selection_quick,toy2_basin_learned_credit_replay_selection,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_prototype,diagnostic,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,9,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_replay_selection_quick/toy2_basin_learned_credit_replay_selection_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed01.yaml,experiments/runs/20260514_162305_314626_toy24_basin_learned_credit_replay_selection_quick_toy2_basin_learned_credit_replay_selection_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_replay_selection_quick,toy2_basin_learned_credit_replay_selection,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_prototype,diagnostic,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,10,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_replay_selection_quick/toy2_basin_learned_credit_replay_selection_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed02.yaml,experiments/runs/20260514_162319_935574_toy24_basin_learned_credit_replay_selection_quick_toy2_basin_learned_credit_replay_selection_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_replay_selection_quick,toy2_basin_learned_credit_replay_selection,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_prototype,diagnostic,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,9,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_replay_selection_quick/toy2_basin_learned_credit_replay_selection_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed03.yaml,experiments/runs/20260514_162333_923706_toy24_basin_learned_credit_replay_selection_quick_toy2_basin_learned_credit_replay_selection_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_replay_selection_quick,toy2_basin_learned_credit_replay_selection,toy2,learned_candidate_context_all_replay,diagnostic,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,9,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_replay_selection_quick/toy2_basin_learned_credit_replay_selection_learned_candidate_context_all_replay_seed01.yaml,experiments/runs/20260514_162347_614261_toy24_basin_learned_credit_replay_selection_quick_toy2_basin_learned_credit_replay_selection_learned_candidate_context_all_replay_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_replay_selection_quick,toy2_basin_learned_credit_replay_selection,toy2,learned_candidate_context_all_replay,diagnostic,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,10,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_replay_selection_quick/toy2_basin_learned_credit_replay_selection_learned_candidate_context_all_replay_seed02.yaml,experiments/runs/20260514_162402_512201_toy24_basin_learned_credit_replay_selection_quick_toy2_basin_learned_credit_replay_selection_learned_candidate_context_all_replay_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_replay_selection_quick,toy2_basin_learned_credit_replay_selection,toy2,learned_candidate_context_all_replay,diagnostic,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,9,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_replay_selection_quick/toy2_basin_learned_credit_replay_selection_learned_candidate_context_all_replay_seed03.yaml,experiments/runs/20260514_162417_291001_toy24_basin_learned_credit_replay_selection_quick_toy2_basin_learned_credit_replay_selection_learned_candidate_context_all_replay_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_replay_selection_quick,toy2_basin_learned_credit_replay_selection,toy2,learned_candidate_context_confident_agreement_replay,nabm,baseline,nabm,1,final_mean_payoff,2.325,maximize,mean_payoff,3.0,0.001,2.325,0.6749999999999998,False,False,,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_replay_selection_quick/toy2_basin_learned_credit_replay_selection_learned_candidate_context_confident_agreement_replay_seed01.yaml,experiments/runs/20260514_162431_973100_toy24_basin_learned_credit_replay_selection_quick_toy2_basin_learned_credit_replay_selection_learned_candidate_context_confident_agreement_replay_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_replay_selection_quick,toy2_basin_learned_credit_replay_selection,toy2,learned_candidate_context_confident_agreement_replay,nabm,baseline,nabm,2,final_mean_payoff,2.29,maximize,mean_payoff,3.0,0.001,2.29,0.71,False,False,,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_replay_selection_quick/toy2_basin_learned_credit_replay_selection_learned_candidate_context_confident_agreement_replay_seed02.yaml,experiments/runs/20260514_162439_579080_toy24_basin_learned_credit_replay_selection_quick_toy2_basin_learned_credit_replay_selection_learned_candidate_context_confident_agreement_replay_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_replay_selection_quick,toy2_basin_learned_credit_replay_selection,toy2,learned_candidate_context_confident_agreement_replay,nabm,baseline,nabm,3,final_mean_payoff,2.37,maximize,mean_payoff,3.0,0.001,2.37,0.6299999999999999,False,False,,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_replay_selection_quick/toy2_basin_learned_credit_replay_selection_learned_candidate_context_confident_agreement_replay_seed03.yaml,experiments/runs/20260514_162447_549414_toy24_basin_learned_credit_replay_selection_quick_toy2_basin_learned_credit_replay_selection_learned_candidate_context_confident_agreement_replay_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_replay_selection_quick,toy2_basin_learned_credit_replay_selection,toy2,learned_candidate_context_confident_disagreement_replay,diagnostic,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,20,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_replay_selection_quick/toy2_basin_learned_credit_replay_selection_learned_candidate_context_confident_disagreement_replay_seed01.yaml,experiments/runs/20260514_162455_826300_toy24_basin_learned_credit_replay_selection_quick_toy2_basin_learned_credit_replay_selection_learned_candidate_context_confident_disagreement_replay_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_replay_selection_quick,toy2_basin_learned_credit_replay_selection,toy2,learned_candidate_context_confident_disagreement_replay,diagnostic,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,26,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_replay_selection_quick/toy2_basin_learned_credit_replay_selection_learned_candidate_context_confident_disagreement_replay_seed02.yaml,experiments/runs/20260514_162508_662702_toy24_basin_learned_credit_replay_selection_quick_toy2_basin_learned_credit_replay_selection_learned_candidate_context_confident_disagreement_replay_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_replay_selection_quick,toy2_basin_learned_credit_replay_selection,toy2,learned_candidate_context_confident_disagreement_replay,diagnostic,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,28,experiments/configs/generated/evidence_matrix/toy24_basin_learned_credit_replay_selection_quick/toy2_basin_learned_credit_replay_selection_learned_candidate_context_confident_disagreement_replay_seed03.yaml,experiments/runs/20260514_162520_518061_toy24_basin_learned_credit_replay_selection_quick_toy2_basin_learned_credit_replay_selection_learned_candidate_context_confident_disagreement_replay_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
