label,case,toy,variant,group,baseline_group,nabm_group,seed,primary_metric,metric_value,direction,ceiling_metric,ceiling_value,ceiling_tolerance,ceiling_metric_value,ceiling_gap,final_within_ceiling,ever_reached_ceiling,time_to_ceiling,config_path,run_dir,nabm_status,neural_role,social_channels,reference_policies
toy24_basin_credit_adaptive_replay_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,3,experiments/configs/generated/evidence_matrix/toy24_basin_credit_adaptive_replay_quick/toy2_basin_credit_reputation_imitation_seed01.yaml,experiments/runs/20260514_104514_525346_toy24_basin_credit_adaptive_replay_quick_toy2_basin_credit_reputation_imitation_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_credit_adaptive_replay_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,3,experiments/configs/generated/evidence_matrix/toy24_basin_credit_adaptive_replay_quick/toy2_basin_credit_reputation_imitation_seed02.yaml,experiments/runs/20260514_104515_013722_toy24_basin_credit_adaptive_replay_quick_toy2_basin_credit_reputation_imitation_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_credit_adaptive_replay_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,2,experiments/configs/generated/evidence_matrix/toy24_basin_credit_adaptive_replay_quick/toy2_basin_credit_reputation_imitation_seed03.yaml,experiments/runs/20260514_104515_524218_toy24_basin_credit_adaptive_replay_quick_toy2_basin_credit_reputation_imitation_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_credit_adaptive_replay_quick,toy2_basin_credit,toy2,linear_welfare_heavy,baseline,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,23,experiments/configs/generated/evidence_matrix/toy24_basin_credit_adaptive_replay_quick/toy2_basin_credit_linear_welfare_heavy_seed01.yaml,experiments/runs/20260514_104516_003407_toy24_basin_credit_adaptive_replay_quick_toy2_basin_credit_linear_welfare_heavy_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_credit_adaptive_replay_quick,toy2_basin_credit,toy2,linear_welfare_heavy,baseline,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,26,experiments/configs/generated/evidence_matrix/toy24_basin_credit_adaptive_replay_quick/toy2_basin_credit_linear_welfare_heavy_seed02.yaml,experiments/runs/20260514_104523_396734_toy24_basin_credit_adaptive_replay_quick_toy2_basin_credit_linear_welfare_heavy_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_credit_adaptive_replay_quick,toy2_basin_credit,toy2,linear_welfare_heavy,baseline,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,22,experiments/configs/generated/evidence_matrix/toy24_basin_credit_adaptive_replay_quick/toy2_basin_credit_linear_welfare_heavy_seed03.yaml,experiments/runs/20260514_104530_216981_toy24_basin_credit_adaptive_replay_quick_toy2_basin_credit_linear_welfare_heavy_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_credit_adaptive_replay_quick,toy2_basin_credit,toy2,decision_bootstrap_w1p0_e5_linear_welfare,diagnostic,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,20,experiments/configs/generated/evidence_matrix/toy24_basin_credit_adaptive_replay_quick/toy2_basin_credit_decision_bootstrap_w1p0_e5_linear_welfare_seed01.yaml,experiments/runs/20260514_104537_724612_toy24_basin_credit_adaptive_replay_quick_toy2_basin_credit_decision_bootstrap_w1p0_e5_linear_welfare_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_credit_adaptive_replay_quick,toy2_basin_credit,toy2,decision_bootstrap_w1p0_e5_linear_welfare,diagnostic,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,26,experiments/configs/generated/evidence_matrix/toy24_basin_credit_adaptive_replay_quick/toy2_basin_credit_decision_bootstrap_w1p0_e5_linear_welfare_seed02.yaml,experiments/runs/20260514_104557_382290_toy24_basin_credit_adaptive_replay_quick_toy2_basin_credit_decision_bootstrap_w1p0_e5_linear_welfare_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_credit_adaptive_replay_quick,toy2_basin_credit,toy2,decision_bootstrap_w1p0_e5_linear_welfare,diagnostic,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,22,experiments/configs/generated/evidence_matrix/toy24_basin_credit_adaptive_replay_quick/toy2_basin_credit_decision_bootstrap_w1p0_e5_linear_welfare_seed03.yaml,experiments/runs/20260514_104603_198276_toy24_basin_credit_adaptive_replay_quick_toy2_basin_credit_decision_bootstrap_w1p0_e5_linear_welfare_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_credit_adaptive_replay_quick,toy2_basin_credit,toy2,basin_credit_w1p0_h1_prototype,nabm,baseline,nabm,1,final_mean_payoff,2.525,maximize,mean_payoff,3.0,0.001,2.525,0.4750000000000001,False,False,,experiments/configs/generated/evidence_matrix/toy24_basin_credit_adaptive_replay_quick/toy2_basin_credit_basin_credit_w1p0_h1_prototype_seed01.yaml,experiments/runs/20260514_104609_324412_toy24_basin_credit_adaptive_replay_quick_toy2_basin_credit_basin_credit_w1p0_h1_prototype_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_credit_adaptive_replay_quick,toy2_basin_credit,toy2,basin_credit_w1p0_h1_prototype,nabm,baseline,nabm,2,final_mean_payoff,2.535,maximize,mean_payoff,3.0,0.001,2.535,0.46499999999999986,False,False,,experiments/configs/generated/evidence_matrix/toy24_basin_credit_adaptive_replay_quick/toy2_basin_credit_basin_credit_w1p0_h1_prototype_seed02.yaml,experiments/runs/20260514_104619_074351_toy24_basin_credit_adaptive_replay_quick_toy2_basin_credit_basin_credit_w1p0_h1_prototype_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
