label,case,toy,variant,group,seed,time_to_ceiling,final_within_ceiling,ever_reached_ceiling,window_epoch_count,first_revision_pressure_epoch,first_policy_readiness_epoch,first_action_response_epoch,pressure_to_policy_lag,pressure_to_action_lag,early_revision_pressure_mean,early_revision_pressure_active_rate,early_social_revision_pressure_mean,early_policy_readiness_mean,early_pressure_policy_gap_mean,early_pressure_action_gap_mean,early_action_rate_mean,early_realized_revision_rate_mean,early_precommitment_rate_mean,early_commitment_rate_mean,revision_framing_flags
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,3,True,True,2,,1,1,,,,,0.0,0.95,,,0.94,1.0,0.0,0.0,weak_revision_pressure
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,2,3,True,True,2,,1,1,,,,,0.0,0.97,,,0.965,1.0,0.0,0.0,weak_revision_pressure
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,3,2,True,True,1,,1,1,,,,,0.0,0.95,,,0.96,1.0,0.0,0.0,weak_revision_pressure
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,linear_welfare_heavy,baseline,1,23,True,True,10,1,6,13,5,12,0.6456000000000001,1.0,0.01575275927782057,0.529,0.030196380913853633,0.15765600000000002,0.674,1.0,0.0,0.0,revision_pressure_precedes_policy;revision_pressure_precedes_action;pressure_policy_translation_lag;pressure_action_translation_lag
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,linear_welfare_heavy,baseline,2,26,True,True,10,1,5,11,4,10,0.6426000000000001,1.0,0.015578274041414274,0.5429999999999999,0.02685990321457385,0.149148,0.679,1.0,0.0,0.0,revision_pressure_precedes_policy;revision_pressure_precedes_action;pressure_policy_translation_lag;pressure_action_translation_lag
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,linear_welfare_heavy,baseline,3,22,True,True,10,1,6,13,5,12,0.6372000000000001,1.0,0.016298723638057733,0.509,0.03206318346583841,0.14263200000000004,0.688,1.0,0.0,0.0,revision_pressure_precedes_policy;revision_pressure_precedes_action;pressure_policy_translation_lag;pressure_action_translation_lag
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,decision_bootstrap_w1p0_e5_linear_welfare,diagnostic,1,20,True,True,10,1,5,1,4,0,0.5868000000000001,1.0,0.016467409968376156,0.549,0.020793176377058013,0.08230800000000002,0.772,1.0,0.0,0.0,revision_pressure_precedes_policy;pressure_policy_translation_lag;pressure_action_translation_lag
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,decision_bootstrap_w1p0_e5_linear_welfare,diagnostic,2,26,True,True,10,1,5,1,4,0,0.5820000000000001,1.0,0.01652200365066526,0.5700000000000001,0.017888004398882384,0.07668000000000001,0.78,1.0,0.0,0.0,revision_pressure_precedes_policy;pressure_policy_translation_lag;pressure_action_translation_lag
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,decision_bootstrap_w1p0_e5_linear_welfare,diagnostic,3,22,True,True,10,1,6,1,5,0,0.5772000000000002,1.0,0.01707710641622544,0.537,0.021358093841314305,0.07070400000000003,0.788,1.0,0.0,0.0,revision_pressure_precedes_policy;pressure_policy_translation_lag;pressure_action_translation_lag
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,basin_credit_w1p0_h1_prototype,nabm,1,,False,False,10,,,,,,0.004157036624810007,0.0,0.0031306932270526943,0.002,0.0007098419482840519,0.0014500890190459683,0.523,1.0,0.0,0.0,weak_revision_pressure
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,basin_credit_w1p0_h1_prototype,nabm,2,,False,False,10,,,,,,0.004203372676967315,0.0,0.0034647879600524954,0.001,0.0007341686737107765,0.0014635076624147899,0.522,1.0,0.0,0.0,weak_revision_pressure
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,basin_credit_w1p0_h1_prototype,nabm,3,,False,False,10,,,,,,0.0033466126684565376,0.0,0.002227281600236897,0.0,0.0006087478603199576,0.0012399231170605882,0.511,1.0,0.0,0.0,weak_revision_pressure
